タイトル,住所,dslurl,Webサイト,電話番号,営業時間,rental,longitude,latitude,pref,primary_station,distance_to_primary_station_m,candidate_stations,station_count,ward,primary_area,candidate_areas,article_tags,is_partner
Ohana Room Studio新宿,〒162-0801 東京都新宿区山吹町３４４ LOGビル 2F,,https://ohanaroom.jp/,,"2024-02-29 木曜日 9時00分～22時00分
2024-03-01 金曜日 9時00分～22時00分
2024-03-02 土曜日 9時00分～22時00分
2024-03-03 日曜日 9時00分～22時00分
2024-03-04 月曜日 9時00分～22時00分
2024-03-05 火曜日 9時00分～22時00分
2024-03-06 水曜日 9時00分～22時00分",1,35.7081165,139.7305757,東京,なし,,,0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|feature:24h,
㈱フラオリタヒチ,〒140-0013 東京都品川区南大井３丁目２０?１１ 伊藤ビル 201,,https://www.hulaoritahiti.jp/,03-6433-2981,LGBTQ フレンドリー,1,35.5886149,139.7350657,東京,なし,,,0,品川区,品川,品川|五反田|大井町|目黒,area:品川,
[吉祥寺ダンススタジオ] Studio Amrita NORTH,〒180-0004 東京都武蔵野市吉祥寺本町２丁目５?１０ いちご吉祥寺ビル B1,,http://rental.studioamrita.com/,0422-23-6611,"LGBTQ フレンドリー2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.7069875,139.5788454,東京,吉祥寺駅,436,吉祥寺駅,1,武蔵野市,吉祥寺,吉祥寺,area:吉祥寺|station:吉祥寺駅|feature:24h,
新宿レンタルスタジオ アルファ,〒160-0022 東京都新宿区８ 新宿5丁目8番21号 サンジュリ23号室,,,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.6925567,139.7091477,東京,新宿駅,823,新宿駅|西武新宿駅,2,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:新宿駅|station:西武新宿駅|feature:24h,
【レンタルスタジオ】SPICY CANDY【ボディメイク】,〒111-0053 東京都台東区浅草橋４丁目２?８ 伊藤ビル １F,,https://www.instabase.jp/space/6730746951,03-3862-3939,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.6979294,139.7822479,東京,秋葉原駅,730,秋葉原駅|蔵前駅,2,台東区,上野,上野|浅草|御徒町|蔵前,area:上野|station:秋葉原駅|station:蔵前駅|feature:24h,
BUZZ レンタルスタジオ新宿4丁目店,〒160-0022 東京都新宿区新宿４丁目２?２１ 相模ビル B1F,,https://buzz-st.com/shinjuku3,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.6889262,139.7033232,東京,新宿駅,355,新宿駅|代々木駅|西武新宿駅,3,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:新宿駅|station:代々木駅|station:西武新宿駅|feature:24h,
スタジオジパング 新宿スタジオSTANDARD,〒160-0022 東京都新宿区新宿５丁目１０?２０ JKKグループ本社ビル1F,,http://studiozipang.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.6927705,139.708383,東京,新宿駅,762,新宿駅|西武新宿駅,2,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:新宿駅|station:西武新宿駅|feature:24h,
レンタルスタジオマイレッスン 新宿御苑前,〒160-0022 東京都新宿区新宿１丁目１７?１,,https://www.my-lesson.jp/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.6891993,139.7118737,東京,新宿駅,1066,新宿駅|代々木駅,2,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:新宿駅|station:代々木駅|feature:24h,
レンタルスタジオ 301,〒160-0021 東京都新宿区歌舞伎町２丁目８?１２ 新宿グリーンプラザ 301号,,https://shierushan.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.6950309,139.7060865,東京,西武新宿駅,507,西武新宿駅|新宿駅|新大久保駅,3,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,
【福岡校】YKAダンススタジオ,〒812-0023 福岡県福岡市博多区奈良屋町１?１８ ハードビル 3階,,https://yka-fukuoka.com/,080-4624-9889,"2024-02-29 木曜日 16時00分～22時00分
2024-03-01 金曜日 16時00分～22時00分
2024-03-02 土曜日 12時30分～22時00分
2024-03-03 日曜日 12時30分～22時00分
2024-03-04 月曜日 16時00分～22時00分
2024-03-05 火曜日 16時00分～22時00分
2024-03-06 水曜日 16時00分～22時00分
",1,33.5986406,130.4065567,東京,なし,,,0,その他,その他,その他,feature:24h,
ENCE Rental Studio 四谷三丁目【新宿エリアのレンタルスタジオ】,〒160-0017 東京都新宿区左門町１?１７ アパルトマン 四谷 102,,http://encerentalstudio.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.6872713,139.7215167,東京,なし,,,0,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|feature:24h,
BUZZ レンタルスタジオ 代々木店,〒151-0053 東京都渋谷区代々木１丁目３６?１ ミユキビル B1F,,https://buzz-st.com/yoyogi/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.6842213,139.7012401,東京,代々木駅,148,代々木駅|新宿駅,2,渋谷区,渋谷,渋谷|恵比寿|代官山|原宿,area:渋谷|station:代々木駅|station:新宿駅|feature:24h,
?JDS 自由が丘のレンタルスタジオ,〒152-0035 東京都目黒区自由が丘１丁目３?２２ JSDスタジオ,,http://jiyugaokastudio.com/,03-3718-9228,"2024-02-29 木曜日 9時00分～23時30分
2024-03-01 金曜日 9時00分～23時30分
2024-03-02 土曜日 9時00分～23時30分
2024-03-03 日曜日 9時00分～23時30分
2024-03-04 月曜日 9時00分～23時30分
2024-03-05 火曜日 9時00分～23時30分
2024-03-06 水曜日 9時00分～23時30分
",1,35.6092993,139.6707803,東京,自由が丘駅,278,自由が丘駅,1,目黒区,中目黒,中目黒,area:中目黒|station:自由が丘駅|feature:24h,
レンタルスペース「301」,〒160-0021 東京都新宿区歌舞伎町２丁目８?１２ 新宿グリーンプラザ 301号,,https://shierushan.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.6950309,139.7060865,東京,西武新宿駅,507,西武新宿駅|新宿駅|新大久保駅,3,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,
レンタルスタジオ「Ten（テン）」,〒160-0021 東京都新宿区歌舞伎町２丁目８?１２ 新宿グリーンプラザ 303号,,https://shierushan.com/,,"2024-02-29 木曜日 6時00分～23時30分
2024-03-01 金曜日 6時00分～23時30分
2024-03-02 土曜日 6時00分～23時30分
2024-03-03 日曜日 6時00分～23時30分
2024-03-04 月曜日 6時00分～23時30分
2024-03-05 火曜日 6時00分～23時30分
2024-03-06 水曜日 6時00分～23時30分
",1,35.6950309,139.7060865,東京,西武新宿駅,507,西武新宿駅|新宿駅|新大久保駅,3,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,
Studio.m 新宿レンタルスタジオ,〒160-0022 東京都新宿区新宿５丁目１５?号２ 池与ビル ２０３,,,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.693592,139.707105,東京,西武新宿駅,642,西武新宿駅|新宿駅|新大久保駅,3,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,
A la neigeバレエ,〒150-0043 東京都渋谷区道玄坂１丁目１９?１１ 寿道玄坂ビル B１,,https://www.alaneige.co.jp/,080-3395-4887,"2024-02-29 木曜日 9時00分～23時00分
2024-03-01 金曜日 9時00分～23時00分
2024-03-02 土曜日 9時00分～23時00分
2024-03-03 日曜日 9時00分～23時00分
2024-03-04 月曜日 9時00分～23時00分
2024-03-05 火曜日 9時00分～23時00分
2024-03-06 水曜日 9時00分～23時00分
",1,35.6568978,139.6959558,東京,渋谷駅,529,渋谷駅,1,渋谷区,渋谷,渋谷|恵比寿|代官山|原宿,area:渋谷|station:渋谷駅|feature:24h,
A-KIDS DANCE STUDIO,〒191-0011 東京都日野市日野本町４丁目５?５ ＨＳビル 2F,,http://www.akidsdancestudio.com/,080-5884-7544,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.6795196,139.396024,東京,なし,,,0,日野市,日野,日野,area:日野|feature:24h,
A.K.バレエスタジオ,〒201-0013 東京都狛江市元和泉１丁目２?１ 貸スタジオノタリーノ2F HOPOホール,,https://akballetstudio.amebaownd.com/,080-7852-0777,,1,35.6334684,139.5781102,東京,なし,,,0,狛江市,狛江,狛江,area:狛江,
すむぞう 代々木スタジオ,〒151-0053 東京都渋谷区代々木１丁目４５?７ C's YOYOGI 4F,,https://studio.sumuzo.info/studio/yoyogi/,,,1,35.6822461,139.6978137,東京,代々木駅,392,代々木駅|新宿駅,2,渋谷区,渋谷,渋谷|恵比寿|代官山|原宿,area:渋谷|station:代々木駅|station:新宿駅,
DL Studio,〒151-0053 東京都渋谷区代々木１丁目４５?４ 地下2階 代々木山陽ビル,,http://www.instabase.jp/rooms/2630,,,1,35.6822863,139.6982172,東京,代々木駅,356,代々木駅|新宿駅,2,渋谷区,渋谷,渋谷|恵比寿|代官山|原宿,area:渋谷|station:代々木駅|station:新宿駅,
a.Music Studio,〒170-0005 東京都豊島区南大塚２丁目３９?１１ ヒサビル 5階,,https://www.amusicstudio.info/,080-7354-1200,"LGBTQ フレンドリー2024-02-29 木曜日 9時00分～23時00分
2024-03-01 金曜日 8時00分～23時00分
2024-03-02 土曜日 8時00分～23時00分
2024-03-03 日曜日 8時00分～23時00分
2024-03-04 月曜日 9時00分～23時00分
2024-03-05 火曜日 9時00分～23時00分
2024-03-06 水曜日 9時00分～23時00分
",1,35.7295282,139.7308051,東京,なし,,,0,豊島区,池袋,池袋|目白|大塚|巣鴨,area:池袋|feature:24h,
A.R.P studio,〒164-0011 東京都中野区中央２丁目５８?21 B1,,http://arpstudio.main.jp/,03-5358-9841,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.7012934,139.6785113,東京,なし,,,0,中野区,中野,中野,area:中野|feature:24h,
AAPA 日の出町団地スタジオ,〒120-0021 東京都足立区日ノ出町２７ 日の出町団地１号棟 １０３,,https://aapa.jp/,070-6457-8036,,1,35.7517721,139.8073113,東京,北千住駅,287,北千住駅,1,足立区,北千住,北千住,area:北千住|station:北千住駅,
studio SLASH,〒151-0064 東京都渋谷区上原１丁目２１?１０ B1,,http://slash-jpn.com/studio/,,"2024-02-29 木曜日 11時00分～12時00分
2024-03-01 金曜日 13時00分～14時30分
2024-03-02 土曜日 13時00分～21時30分
2024-03-03 日曜日 13時00分～18時20分
2024-03-04 月曜日 11時00分～12時00分
2024-03-05 火曜日 14時00分～15時15分
2024-03-06 水曜日 12時15分～15時15分
",1,35.6682287,139.6824912,東京,なし,,,0,渋谷区,渋谷,渋谷|恵比寿|代官山|原宿,area:渋谷|feature:24h,
ABC明大前スタ,〒156-0043 東京都世田谷区松原１丁目２４?１１,,https://ameblo.jp/meidaimae2011/entry-12532735132.html,090-2143-8422,,1,35.6655753,139.6525717,東京,なし,,,0,世田谷区,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,area:下北沢,
ACCA STUDIO,〒130-0005 東京都墨田区東駒形３丁目１９?１３,,https://acca-studio.com/,03-5637-8639,"2024-02-29 木曜日 9時00分～19時00分
2024-03-01 金曜日 9時00分～19時00分
2024-03-02 土曜日 定休日
2024-03-03 日曜日 定休日
2024-03-04 月曜日 9時00分～19時00分
2024-03-05 火曜日 9時00分～19時00分
2024-03-06 水曜日 9時00分～19時00分
",1,35.707228,139.8040147,東京,押上駅,681,押上駅|浅草駅|蔵前駅,3,墨田区,錦糸町,錦糸町,area:錦糸町|station:押上駅|station:浅草駅|station:蔵前駅|feature:24h,
ACEスタジオ馬喰町日本橋,〒103-0003 東京都中央区日本橋横山町７?１９ イチオクビル 地下１階 7-19第３５,,https://mestudio.tokyo/,090-1261-7939,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.6934479,139.78379,東京,秋葉原駅,1042,秋葉原駅,1,中央区,銀座,銀座|日本橋|八丁堀|月島,area:銀座|station:秋葉原駅|feature:24h,
ACFit 赤坂見附スタジオ,〒107-0052 東京都港区赤坂３丁目４?３ 赤坂マカベビル B1F,,https://acfit.accea.co.jp/akasakamitsuke/lava/,03-3560-9212,"2024-02-29 木曜日 8時00分～22時00分
2024-03-01 金曜日 8時00分～22時00分
2024-03-02 土曜日 8時30分～14時30分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 8時00分～22時00分
2024-03-05 火曜日 8時00分～22時00分
2024-03-06 水曜日 8時00分～22時00分
",1,35.6741686,139.7384039,東京,赤坂駅,160,赤坂駅,1,港区,六本木,六本木|赤坂|麻布|新橋,area:六本木|station:赤坂駅|feature:24h,
AK BALLET SCHOOL浦安,〒279-0003 千葉県浦安市海楽１丁目２?６ 2F Room3,,https://www.ak-bs.com/,080-6988-2229,"2024-02-29 木曜日 10時00分～21時00分
2024-03-01 金曜日 10時00分～21時00分
2024-03-02 土曜日 10時00分～21時00分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 10時00分～21時00分
2024-03-05 火曜日 10時00分～21時00分
2024-03-06 水曜日 17時00分～21時00分
",1,35.6529332,139.902579,東京,なし,,,0,その他,その他,その他,feature:24h,
ALOK DANCE DORAMA COMPANY,〒169-0073 東京都新宿区百人町１丁目１３?９,,http://alokddc.wordpress.com/,03-5386-8192,"LGBTQ フレンドリー2024-02-29 木曜日 9時00分～22時00分
2024-03-01 金曜日 9時00分～22時00分
2024-03-02 土曜日 9時00分～22時00分
2024-03-03 日曜日 9時00分～22時00分
2024-03-04 月曜日 9時00分～22時00分
2024-03-05 火曜日 9時00分～22時00分
2024-03-06 水曜日 9時00分～22時00分",1,35.698917,139.6990848,東京,新大久保駅,279,新大久保駅|西武新宿駅|新宿駅,3,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:新大久保駅|station:西武新宿駅|station:新宿駅|feature:24h,
alt studio (オルトスタジオ),〒101-0051 東京都千代田区神田神保町１丁目64?３ 神保町ビル 6F,,https://upnow.jp/Altstudio/jimbocho,090-1793-8220,"2024-02-29 木曜日 8時00分～23時00分
2024-03-01 金曜日 8時00分～23時00分
2024-03-02 土曜日 8時00分～23時00分
2024-03-03 日曜日 8時00分～23時00分
2024-03-04 月曜日 8時00分～23時00分
2024-03-05 火曜日 8時00分～23時00分
2024-03-06 水曜日 8時00分～23時00分
",1,35.6988364,139.7582,東京,なし,,,0,千代田区,秋葉原,秋葉原,area:秋葉原|feature:24h,
Amiバレエアート,"晴見町1-2-1 スミレビル2階, 府中市 東京都 183-0057",,http://www.ami-ballet.com/,090-9342-9033,,1,35.6781802,139.4780509,東京,府中駅,1078,府中駅,1,府中市,府中,府中,area:府中|station:府中駅,
Amiバレエダンスアーツ,〒183-0055 東京都府中市府中町２丁目２２?８,,http://www.ami-ballet.com/,090-9342-9033,,1,35.6757704,139.4844256,東京,府中駅,1042,府中駅,1,府中市,府中,府中,area:府中|station:府中駅,
スタジオキャンパス 高田馬場店,〒169-0075 東京都新宿区高田馬場４丁目２９?１ B1F,,https://st-campus.net/baba/,,"2024-02-29 木曜日 10時00分～23時00分
2024-03-01 金曜日 10時00分～23時00分
2024-03-02 土曜日 10時00分～23時00分
2024-03-03 日曜日 10時00分～23時00分
2024-03-04 月曜日 10時00分～23時00分
2024-03-05 火曜日 10時00分～23時00分
2024-03-06 水曜日 10時00分～23時00分
",1,35.7104813,139.6989111,東京,高田馬場駅,483,高田馬場駅|新大久保駅,2,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:高田馬場駅|station:新大久保駅|feature:24h,
Another ONE+ （銀座レンタルスペース）,〒104-0061 東京都中央区銀座３丁目１２?１８ 新岩間ビル 3F,,https://aopg.jp/,090-4610-1850,"2024-02-29 木曜日 5時00分～23時00分
2024-03-01 金曜日 5時00分～23時00分
2024-03-02 土曜日 5時00分～23時00分
2024-03-03 日曜日 5時00分～23時00分
2024-03-04 月曜日 5時00分～23時00分
2024-03-05 火曜日 5時00分～23時00分
2024-03-06 水曜日 5時00分～23時00分
",1,35.670885,139.7691116,東京,有楽町駅,700,有楽町駅|新橋駅|東京駅,3,中央区,銀座,銀座|日本橋|八丁堀|月島,area:銀座|station:有楽町駅|station:新橋駅|station:東京駅|feature:24h,
スタジオジパング 新宿スタジオPRO,"ニューローレルビル ニューローレルビル地下1階, １丁目-３４-１１ 新宿 新宿区 東京都 160-0022",,https://studiozipang.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
",1,35.691309,139.710504,東京,新宿駅,926,新宿駅|西武新宿駅|代々木駅,3,新宿区,新宿,新宿|西新宿|高田馬場|新大久保,area:新宿|station:新宿駅|station:西武新宿駅|station:代々木駅|feature:24h,
ART GROOVE,〒114-0015 東京都北区中里２丁目５?８ レイハウス駒込 302,,https://art-groove.com/net/,03-5972-4133,"2024-02-29 木曜日 10時30分～19時00分
2024-03-01 金曜日 17時30分～22時00分
2024-03-02 土曜日 12時00分～22時00分
2024-03-03 日曜日 10時30分～16時30分
2024-03-04 月曜日 19時00分～22時00分
2024-03-05 火曜日 12時00分～22時00分
2024-03-06 水曜日 16時00分～22時00分
",1,35.738012,139.749893,東京,なし,,,0,北区,赤羽,赤羽,area:赤羽|feature:24h,
Asia Ballet Agency,〒164-0013 東京都中野区弥生町１丁目４３?１ アーデルホーフ弥生町,,https://www.asiaballet.net/,03-6300-9560,,1,35.6886058,139.6776582,東京,なし,,,0,中野区,中野,中野,area:中野,
