studio_title,address,website,phone,dslurl,is_partner,candidate_article_count,s_article_count,api_priority_score,api_target_reason,place_id,google_name,rating,review_count,google_address,match_confidence,api_status,query_used
BUZZ渋谷MARKCITY,〒150-0043 東京都渋谷区道玄坂１丁目１７ 9BUZZビル,,,https://dance-studio-lab.com/room/MTJmOWU1NGQtYmViZC00YWEzLWI5Y2ItNGFhYzU3YTAyZTBk/detail,1,6,4,160,提携スタジオ|S優先度記事×4|複数記事候補×6,ChIJfYAEdgKLGGARHbcNsyh2QfI,BUZZ渋谷MARKCITY,4.3,7.0,〒150-0043 東京都渋谷区道玄坂１丁目１７−１７ 9BUZZビル,1.0,OK,BUZZ渋谷MARKCITY 東京都渋谷区道玄坂
レンタルスタジオAivic渋谷道玄坂,東京都渋谷区円山町23-10 渋谷ATビル201,,,https://dance-studio-lab.com/room/NWE2MDljYmItN2I0ZC00ZjIzLWI3MGEtMmZiNmEzNWJjOWI4/detail,1,6,4,160,提携スタジオ|S優先度記事×4|複数記事候補×6,ChIJuZbmQQCLGGARLH-u9VtZJWo,レンタルスタジオAivic渋谷道玄坂,,,〒150-0044 東京都渋谷区円山町２３−１０ 渋谷ATビル 201,1.0,OK,レンタルスタジオAivic渋谷道玄坂 東京都渋谷区円山町23-10 渋谷ATビル201
BEATs レンタルスタジオ ビーツ,東京都渋谷区代々木1-42-2 藤ビル2階,,,https://dance-studio-lab.com/room/ZWU0MDNlZTUtMDE1Zi00NDcyLWFjZjgtZTAzNzUzZTAwMzNj/detail,1,6,4,160,提携スタジオ|S優先度記事×4|複数記事候補×6,ChIJhZZQrOqNGGARrlbzob-uRo4,RENTAL STUDIO BEATs,5.0,1.0,〒151-0053 東京都渋谷区代々木１丁目４２−２ 藤ビル 2階,0.303,OK,BEATs レンタルスタジオ ビーツ 東京都渋谷区代々木1-42-2 藤ビル2階
ザ・スペース大久保南口,東京都渋谷区桜丘町29-17 さくらマンション205,,,https://dance-studio-lab.com/room/ZDRhYmIxMjgtNzhkMy00Yjk1LTk2MzItNTdiZWJmY2VkYWZk/detail,1,6,4,160,提携スタジオ|S優先度記事×4|複数記事候補×6,ChIJ___v2VCLGGAR0z3eGgj4BjY,チェリッシュ4号館・8号館,3.9,30.0,〒150-0031 東京都渋谷区桜丘町２９−１７ さくらマンション 203／205,0.0,OK,ザ・スペース大久保南口 東京都渋谷区桜丘町29-17 さくらマンション205
チェリッシュスタジオ1号館/6号館,東京都渋谷区円山町20-1 新大宗円山ビル別館3階,http://cherish-studio.com/01st,,https://dance-studio-lab.com/room/Njc0MjgwMDUtMzBjZS00ZmU5LWFkNzgtYTE3Y2U5NDMyYmU0/detail,1,5,4,155,提携スタジオ|S優先度記事×4|複数記事候補×5,ChIJ4wfflFWLGGARbN_uIlPutlI,チェリッシュスタジオ１号館,3.7,29.0,〒150-0044 東京都渋谷区円山町２０−１ 新大宗円山ビル別館3階,0.867,OK,チェリッシュスタジオ1号館/6号館 東京都渋谷区円山町20-1 新大宗円山ビル別館3階
チェリッシュスタジオ7号館,東京都渋谷区桜丘町29-17 さくらマンション205,http://cherish-studio.com/04st/,,https://dance-studio-lab.com/room/MjQ5NGIyOTEtZTVmOS00MzZkLWIzNGYtYTFkMmVhOWZiYTE5/detail,1,5,4,155,提携スタジオ|S優先度記事×4|複数記事候補×5,ChIJ___v2VCLGGAR0z3eGgj4BjY,チェリッシュ4号館・8号館,3.9,30.0,〒150-0031 東京都渋谷区桜丘町２９−１７ さくらマンション 203／205,0.64,OK,チェリッシュスタジオ7号館 東京都渋谷区桜丘町29-17 さくらマンション205
チェリッシュスタジオ4号館/8号館,東京都渋谷区桜丘町29-17 さくらマンション205,http://cherish-studio.com/04st/,,https://dance-studio-lab.com/room/NmJiNDI1YTQtN2EwMi00ODFjLWE0OTMtMjUyYzk4ODY2NGY5/detail,1,5,4,155,提携スタジオ|S優先度記事×4|複数記事候補×5,ChIJ___v2VCLGGAR0z3eGgj4BjY,チェリッシュ4号館・8号館,3.9,30.0,〒150-0031 東京都渋谷区桜丘町２９−１７ さくらマンション 203／205,0.828,OK,チェリッシュスタジオ4号館/8号館 東京都渋谷区桜丘町29-17 さくらマンション205
日本橋PACMAN（ニホンバシパックマン）,〒103-0021 東京都中央区日本橋本石町４丁目５-５ 藤ビル 地下1階,https://pacman.tokyo/,03-6260-9526,,0,7,5,150,S優先度記事×5|複数記事候補×7|候補少記事に出現,ChIJJ5WrWCCNGGARaHRE6Ufc4o0,日本橋PACMAN（ニホンバシパックマン）,3.6,21.0,〒103-0021 東京都中央区日本橋本石町４丁目５−５ 藤ビル 地下1階,1.0,OK,日本橋PACMAN（ニホンバシパックマン） 東京都中央区日本橋本石町
ライトハウス神田,〒103-0021 東京都中央区日本橋本石町４丁目５-８,https://www.instabase.jp/space/7443145996,,,0,7,5,150,S優先度記事×5|複数記事候補×7|候補少記事に出現,ChIJI4aZNSyNGGAR9cNcuc4jdMk,ライトハウス神田,5.0,1.0,〒103-0021 東京都中央区日本橋本石町４丁目５−８ 3階,1.0,OK,ライトハウス神田 東京都中央区日本橋本石町
チェリッシュスタジオ5号館,東京都渋谷区道玄坂1-16-6 二葉ビル7D,http://cherish-studio.com/05st/,,https://dance-studio-lab.com/room/NTRjMDczNjgtY2EzMy00YjE4LWJlMjYtYmExOTZiYTBmZWZk/detail,1,4,4,150,提携スタジオ|S優先度記事×4|複数記事候補×4,ChIJ__9rXFaLGGARXSVew3-Frrw,チェリッシュ５号館,3.6,16.0,"〒150-0043 東京都都, １６渋谷区道玄坂１丁目１６−６ 7D",0.818,OK,チェリッシュスタジオ5号館 東京都渋谷区道玄坂1-16-6 二葉ビル7D
studio_MINT 錦糸町,〒130-0012 東京都墨田区太平３丁目１-４,https://eaglet01.com/,090-3312-9984,https://dance-studio-lab.com/room/ZDgyZDBlYjYtZWM1YS00MGNhLWI3YjEtZjRmNTEzZmU5NjE4/detail,1,8,2,145,提携スタジオ|S優先度記事×2|複数記事候補×8|候補少記事に出現,ChIJMf70YLqJGGARg5RsdWimXZM,studio_MINT 錦糸町,,,〒130-0012 東京都墨田区太平３丁目１−４ 大室コータース 203号室,1.0,OK,studio_MINT 錦糸町 東京都墨田区太平
レンタルスタジオAivic新橋,"東京都港区西新橋1-16-14 宮川ビル4階
",,,https://dance-studio-lab.com/room/M2EyMzEzOTUtMjkwNC00MmRlLWI3YWEtYjBiMmM1NGUzYzhl/detail,1,7,3,145,提携スタジオ|S優先度記事×3|複数記事候補×7,ChIJWaWXRACLGGARsTqAAlbfEa8,レンタルスタジオAivic新橋,,,〒105-0003 東京都港区西新橋１丁目１６−１４ 宮川ビル ４階,1.0,OK,レンタルスタジオAivic新橋 東京都港区西新橋1-16-14 宮川ビル4階
BUZZ レンタルスタジオ 西国分寺店,〒185-0024 東京都国分寺市泉町３丁目３７-２５ 天龍ビル B1,,,https://dance-studio-lab.com/room/ZDcyMzBmZWYtMzdiYS00YjY0LThmOGEtZDJjMzQxNTVlZDA2/detail,1,7,2,140,提携スタジオ|S優先度記事×2|複数記事候補×7|候補少記事に出現,ChIJD8ADYIflGGAR0Yc6INNQ5v0,BUZZ西国分寺,,,〒185-0024 東京都国分寺市泉町３丁目３７−２５ 天龍ビル B1,0.64,OK,BUZZ レンタルスタジオ 西国分寺店 東京都国分寺市泉町
BUZZ レンタルスタジオ 六本木店,〒106-0032 東京都港区六本木４丁目５-７ スタジオＤ 地下1階,,,https://dance-studio-lab.com/room/MGYxY2IwOWYtNDQ4ZS00MmEyLTliYTAtNzg1YjUyOTA0OTlj/detail,1,6,3,140,提携スタジオ|S優先度記事×3|複数記事候補×6,ChIJYSonz5WLGGARQ_tWA-7sdLs,BUZZ六本木,4.3,6.0,〒106-0032 東京都港区六本木４丁目５−７ 地下1階,0.609,OK,BUZZ レンタルスタジオ 六本木店 東京都港区六本木
Dubway レンタルスタジオ中野,東京都中野区5-32-6 城西ビルB02,,,https://dance-studio-lab.com/room/MzFmYWU5ZjgtNmM0NC00MDYzLTljOGUtMjFlZDI1MmVhMDE5/detail,1,6,3,140,提携スタジオ|S優先度記事×3|複数記事候補×6,ChIJ21QXDnjzGGARiL1yJ3naUQA,Dubway Dance Studio中野,5.0,1.0,"城西ビル, B02室, ５丁目-３２-6 中野 中野区 東京都 164-0001",0.457,OK,Dubway レンタルスタジオ中野 東京都中野区5-32-6 城西ビルB02
ラシーヌスタジオ,〒160-0004 東京都新宿区四谷４丁目２５-１３ 濱庄ビル B101,https://racinestudio.com/,,,0,5,5,140,S優先度記事×5|複数記事候補×5|候補少記事に出現,ChIJM2_vbgONGGARSN6Gx--fx9M,ラシーヌスタジオ,5.0,1.0,〒160-0004 東京都新宿区四谷４丁目２５−１３ B101,1.0,OK,ラシーヌスタジオ 東京都新宿区四谷
ラシーヌスタジオ,〒160-0004 東京都新宿区四谷４丁目２５-１３ 濱庄ビル B101,https://racinestudio.com/,,,0,5,5,140,S優先度記事×5|複数記事候補×5|候補少記事に出現,ChIJM2_vbgONGGARSN6Gx--fx9M,ラシーヌスタジオ,5.0,1.0,〒160-0004 東京都新宿区四谷４丁目２５−１３ B101,1.0,OK,ラシーヌスタジオ 東京都新宿区四谷
Ｍ＆Ｓダンススタジオ,〒151-0051 東京都渋谷区千駄ケ谷５丁目１１-１３ 俳協ビル B1,http://www.msc-dance.net/,03-3350-5350,,0,7,5,135,S優先度記事×5|複数記事候補×7,ChIJrVj9y8aMGGARJBeql2jnF8A,Ｍ＆Ｓダンススタジオ,5.0,1.0,〒151-0051 東京都渋谷区千駄ケ谷５丁目１１−１３ 俳協ビル B1,1.0,OK,Ｍ＆Ｓダンススタジオ 東京都渋谷区千駄ケ谷
BUZZ レンタルスタジオ 国分寺店,〒185-0021 東京都国分寺市南町３丁目２７-７ 白馬ビル B1F,,,https://dance-studio-lab.com/room/ZjIzMWQ0ZjctM2ViOC00Yzg1LWExMzMtMGFkZDYwYzg1Mjhj/detail,1,6,2,135,提携スタジオ|S優先度記事×2|複数記事候補×6|候補少記事に出現,ChIJ_bWY6_nlGGARtxAFIew6g9I,BUZZ国分寺,2.9,8.0,〒185-0021 東京都国分寺市南町３丁目２７−７ 白馬ビル B1F,0.609,OK,BUZZ レンタルスタジオ 国分寺店 東京都国分寺市南町
チェリッシュスタジオ3号館／10号館,〒150-0045 東京都渋谷区神泉町２０-２５ 神泉ＱＳビル 4階／7階,http://cherish-studio.com/03st/,03-6277-5760,https://dance-studio-lab.com/room/ODU0ZjgzZjAtNDc3OS00N2YwLTkxZWEtNTNiMTc2MDE4NGRl/detail,1,5,3,135,提携スタジオ|S優先度記事×3|複数記事候補×5,ChIJAQC0y6qMGGARrRwh_oKsXEw,チェリッシュスタジオ3号館／10号館,3.6,12.0,〒150-0045 東京都渋谷区神泉町２０−２５ 神泉ＱＳビル 4階／7階,1.0,OK,チェリッシュスタジオ3号館／10号館 東京都渋谷区神泉町２０?２５ 神泉ＱＳビル 4階／7階
レンタルスタジオAivic神田,"東京都千代田区神田紺屋町21 高山ビル101
",,,https://dance-studio-lab.com/room/MzE4YmJlMGMtZTc3Yy00OTIwLTg3ZTMtZDQxN2E4Yzc1YTFj/detail,1,5,3,135,提携スタジオ|S優先度記事×3|複数記事候補×5,ChIJqW7MLwCNGGARxobNUNYiP5w,Aivicスペース神田,4.5,2.0,〒101-0044 東京都千代田区鍛冶町２丁目９−１７ 柴崎ビル 4f,0.538,OK,レンタルスタジオAivic神田 東京都千代田区神田紺屋町21 高山ビル101
なかすた（スタジオ神田川）,〒164-0013 東京都中野区弥生町５丁目２２-２ ビラフジミ B号室,http://nkn.photographer.tokyo.jp/,090-5495-8257,https://dance-studio-lab.com/room/ODE4NDI3NmEtODY2YS00ZTg2LTgyMzctNzMzNmYwYjNmNDgx/detail,1,5,3,135,提携スタジオ|S優先度記事×3|複数記事候補×5,ChIJh19rEo_zGGARV0GsS_Gy7GM,なかすた,4.2,6.0,〒164-0013 東京都中野区弥生町５丁目２２−２ ビラフジミ B号室,0.471,OK,なかすた（スタジオ神田川） 東京都中野区弥生町
Cadena Flamenca,〒151-0053 東京都渋谷区代々木１丁目４２-２,https://cadenaflamenca.jp/,03-5304-3535,,0,7,5,135,S優先度記事×5|複数記事候補×7,ChIJW1FWJc-MGGAR1jBm4eZkowQ,Cadena Flamenca,5.0,2.0,〒151-0053 東京都渋谷区代々木１丁目４２−２,1.0,OK,Cadena Flamenca 東京都渋谷区代々木
studio worcle yoyogi,〒151-0053 東京都渋谷区代々木１丁目３６-１２ 2F,https://www.studioworcle.com/yoyogi/,03-6381-6255,,0,7,5,135,S優先度記事×5|複数記事候補×7,ChIJ3xXb2DKNGGARpoizKJGb9Rw,studio worcle yoyogi,3.9,10.0,〒151-0053 東京都渋谷区代々木１丁目３６−１２ 2F,1.0,OK,studio worcle yoyogi 東京都渋谷区代々木
BUZZ レンタルスタジオ池袋東口BASE,〒170-0013 東京都豊島区東池袋１丁目３６-７ B1,,,https://dance-studio-lab.com/room/NWY2ZjE2OGUtZDYyYi00ZTk5LThlMjctZDI1YjllMmRjM2Jk/detail,1,5,3,135,提携スタジオ|S優先度記事×3|複数記事候補×5,ChIJHxq3mUqNGGAR6EwwIRL0dQc,BUZZ池袋東口BASE,4.0,9.0,〒170-0013 東京都豊島区東池袋１丁目３６−７ B1,0.75,OK,BUZZ レンタルスタジオ池袋東口BASE 東京都豊島区東池袋
表参道レンタルスタジオ スタジオ ティノラス,〒107-0062 東京都港区南青山５丁目１３-９,https://www.s-tenoras.com/,03-6418-8181,,0,7,5,135,S優先度記事×5|複数記事候補×7,ChIJkS3M2mCLGGARBhN_Yh4YvRg,ティノラス南青山,4.2,25.0,〒107-0062 東京都港区南青山５丁目１３−９,0.357,OK,表参道レンタルスタジオ スタジオ ティノラス 東京都港区南青山
Beat Box Dance Studio,〒151-0053 東京都渋谷区代々木１丁目４２-２,http://www.beatbox-jp.com/,03-5388-6774,,0,7,5,135,S優先度記事×5|複数記事候補×7,ChIJW1FWJc-MGGARhLg18Lk3U1A,Beat Box Dance Studio,3.8,4.0,〒151-0053 東京都渋谷区代々木１丁目４２−２,1.0,OK,Beat Box Dance Studio 東京都渋谷区代々木
ダンススタジオ石井,〒151-0051 東京都渋谷区千駄ケ谷５丁目４-７,http://www.ds-ishii.com/,03-3350-4310,,0,7,5,135,S優先度記事×5|複数記事候補×7,ChIJUV9Q2sCMGGARGOZ0Yf8rTBg,ダンススタジオ石井,,,〒151-0051 東京都渋谷区千駄ケ谷５丁目４−７,1.0,OK,ダンススタジオ石井 東京都渋谷区千駄ケ谷
レンタルスタジオAivic恵比寿2号店,東京都渋谷区恵比寿2-16-16 レクシード恵比寿（旧flegエビスW）111,,,https://dance-studio-lab.com/room/MjM0NzMxMTAtOGQzOS00MDFkLThmMGEtNTgzM2MzMjVjMzlh/detail,1,5,3,135,提携スタジオ|S優先度記事×3|複数記事候補×5,ChIJbddKNQCLGGAR5i2xL19gjec,レンタルスタジオ Aivic恵比寿1号店,,,〒150-0021 東京都渋谷区恵比寿西１丁目１４−３ 佐藤ビル 満栄佐藤ビル202,0.947,OK,レンタルスタジオAivic恵比寿2号店 東京都渋谷区恵比寿2-16-16 レクシード恵比寿（旧flegエビスW）111
Hina STUDIO(ヒナスタジオ)【新宿西口アネックス】,東京都新宿区西新宿7-15-4　YS第一ビルB1階,https://hinastudio.jp/,,https://dance-studio-lab.com/room/NWQxZDIzMzUtNWMzOC00MzY4LWE4YmYtMWU3MDBkYWM3ZDY2/detail,1,5,3,135,提携スタジオ|S優先度記事×3|複数記事候補×5,ChIJg1nxuYiNGGARw0kzvpNLnQE,Hina STUDIO（ヒナスタジオ） 新宿西口アネックス,,,〒160-0023 東京都新宿区西新宿７丁目１５−４ YS第一ビル B1階,0.893,OK,Hina STUDIO(ヒナスタジオ)【新宿西口アネックス】 東京都新宿区西新宿7-15-4　YS第一ビルB1階
Hina STUDIO(ヒナスタジオ)【新宿西口スタジオ】,東京都新宿区西新宿7-10-12　ダイハンビルデンス4階,https://hinastudio.jp/,,https://dance-studio-lab.com/room/ZDEyOTIyNTctYjUwOC00ZTY3LTgxMWYtYTI0MzhkNDg4OGNj/detail,1,5,3,135,提携スタジオ|S優先度記事×3|複数記事候補×5,ChIJgYmjocKNGGARlnVYKBAmz6w,Hina STUDIO（ヒナスタジオ） 新宿西口,4.6,10.0,〒160-0023 東京都新宿区西新宿７丁目１０−１２ ダイハンビルデンス 4階,0.8,OK,Hina STUDIO(ヒナスタジオ)【新宿西口スタジオ】 東京都新宿区西新宿7-10-12　ダイハンビルデンス4階
BUZZ レンタルスタジオ巣鴨店,〒170-0002 東京都豊島区巣鴨２丁目４-６ 第二みどりビル B1,,,https://dance-studio-lab.com/room/MmNjNjkxYjEtYjA5ZC00YTZkLWFjMTAtZmVhYzQ1MGY0M2Uy/detail,1,5,3,135,提携スタジオ|S優先度記事×3|複数記事候補×5,ChIJFSb9LmONGGARejCvteb7XZk,BUZZ巣鴨,4.4,5.0,〒170-0002 東京都豊島区巣鴨２丁目４−６ B1,0.571,OK,BUZZ レンタルスタジオ巣鴨店 東京都豊島区巣鴨
BUZZ レンタルスタジオ 代々木店,〒151-0053 東京都渋谷区代々木１丁目３６-１ ミユキビル B1F,,,,0,7,5,135,S優先度記事×5|複数記事候補×7,ChIJg1BF0LuNGGARTdoIQwq5K7k,BUZZ代々木,2.8,14.0,〒151-0053 東京都渋谷区代々木１丁目３６−１ B1,0.609,OK,BUZZ レンタルスタジオ 代々木店 東京都渋谷区代々木
ＴＨ会場,〒151-0053 東京都渋谷区代々木２丁目４-１,https://sinjukuth.jimdofree.com/,03-3370-6264,,0,7,5,135,S優先度記事×5|複数記事候補×7,ChIJqYnUyNGMGGARoZKLw9rrr_g,ＴＨ会場,4.3,3.0,〒151-0053 東京都渋谷区代々木２丁目４−１,1.0,OK,ＴＨ会場 東京都渋谷区代々木
スタジオ五軒町,〒101-0021 東京都千代田区外神田６丁目１６-１ 外神田フジハイツ 地下1階,https://studio-gokencho.com/,,,0,6,5,130,S優先度記事×5|複数記事候補×6,ChIJqR_N5JuNGGARtspyhrGKB8M,スタジオ五軒町,4.9,18.0,〒101-0021 東京都千代田区外神田６丁目１６−１ 外神田フジハイツ 地下1階,1.0,OK,スタジオ五軒町 東京都千代田区外神田
ブルースペース上野御徒町,〒110-0005 東京都台東区上野３丁目１３-１０ トミヤマビル B1F,http://bit.ly/2MTtC4u,070-8440-8407,,0,6,5,130,S優先度記事×5|複数記事候補×6,ChIJd9NlGkGPGGARVfILjaLOHAM,ブルースペース上野御徒町,4.8,8.0,〒110-0005 東京都台東区上野３丁目１３−１０ トミヤマビル B1F,1.0,OK,ブルースペース上野御徒町 東京都台東区上野
SPICYCANDY DANCESTUDIO,東京都台東区浅草橋4-2-8伊藤ビル1階,,,https://dance-studio-lab.com/room/NGFjMTNkYTgtNmQ4My00ZTgxLWI3ZmYtMjM4OGVjNDM4Yjk3/detail,1,4,3,130,提携スタジオ|S優先度記事×3|複数記事候補×4,ChIJb_joAnyPGGARY_blojM_gJM,【レンタルスタジオ】SPICY CANDY【ボディメイク】,4.0,1.0,〒111-0053 東京都台東区浅草橋４丁目２−８ 伊藤ビル １F,0.408,OK,SPICYCANDY DANCESTUDIO 東京都台東区浅草橋4-2-8伊藤ビル1階
スタジオピアーチェ池袋店,東京都豊島区池袋本町1-7-1　池袋本町ビル地下１階,http://studio-piace.com/access-ikebukuro.html,,https://dance-studio-lab.com/room/YjA4YWEyZDUtYmFmZS00NDQ3LWJjOWYtMzU2MDlmMDc1MTJi/detail,1,4,3,130,提携スタジオ|S優先度記事×3|複数記事候補×4,ChIJ3_mqOmCNGGARd6j7bGp0DQk,スタジオピアーチェ 池袋店,3.3,4.0,〒170-0011 東京都豊島区池袋本町１丁目７−１ 池袋本町ビル 地下 １ 階,1.0,OK,スタジオピアーチェ池袋店 東京都豊島区池袋本町1-7-1　池袋本町ビル地下１階
DANCE WORKS,〒150-0032 東京都渋谷区鶯谷町７-１０ ＮＭＤビル 2F-6F,https://danceworks.jp/,03-5459-1234,,0,6,5,130,S優先度記事×5|複数記事候補×6,ChIJE9h0frqLGGARZ1rSuNV-jlo,DANCE WORKS,4.4,50.0,〒150-0032 東京都渋谷区鶯谷町７−１０ ＮＭＤビル 2F-6F,1.0,OK,DANCE WORKS 東京都渋谷区鶯谷町７?１０ ＮＭＤビル 2F-6F
Dubway レンタルスタジオ大塚,東京都豊島区北大塚2-10-5 BMAビル　B1,,,https://dance-studio-lab.com/room/ODA1MWRkOGQtODA5Yi00NTRlLWIyNzktZmMyNWFkMTc3ZDY4/detail,1,5,2,130,提携スタジオ|S優先度記事×2|複数記事候補×5|候補少記事に出現,ChIJsZq2IUCNGGARPCwCH5PJl0Q,Dubway Lab大塚レンタルスタジオ,,,"〒174-0004 東京都豊島区北大塚２丁目１０−５ ＢＭＡビル, B1F",0.8,OK,Dubway レンタルスタジオ大塚 東京都豊島区北大塚2-10-5 BMAビル　B1
