article_title,article_type,article_priority,studio_title,address,dslurl,is_partner,primary_area,candidate_areas,primary_station,candidate_stations,distance_to_primary_station_m,article_station,distance_to_article_station_m,article_match_method,article_match_reason,rental_fit_score,rental_fit_reason,suspicious_location,fallback_allowed
上野のレンタルダンススタジオおすすめ,エリア,S,スタジオジパング 上野スタジオSTANDARD,"〒110-0015 東京都台東区東上野３丁目１４-１２, Ueno Bldg., B1 旧 辻井ビル",,0,上野,上野|浅草|御徒町|蔵前,上野駅,上野駅,404.0,,,,primary_area=上野,20,+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,シャノワールレンタルスタジオ,〒110-0005 東京都台東区上野３丁目１４-５ ヴェルコ黒門ビル 地下1階,,0,上野,上野|浅草|御徒町|蔵前,秋葉原駅,秋葉原駅|上野駅,782.0,,,,primary_area=上野,50,+20(rental=1)|+30(レンタルスタジオ),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,スタジオ21（レンタルスタジオ）,"竹中シャルム B1, ３丁目-１-３ 浅草橋 台東区 東京都 111-0053",,0,上野,上野|浅草|御徒町|蔵前,蔵前駅,蔵前駅,643.0,,,,primary_area=上野,50,+20(rental=1)|+30(レンタルスタジオ),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,スタジオプレステージ 根津スタジオ,〒110-0001 東京都台東区谷中２丁目６-５０,,0,上野,上野|浅草|御徒町|蔵前,日暮里駅,日暮里駅,834.0,,,,primary_area=上野,20,+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,スタジオよもだ A館,〒110-0003 東京都台東区１２ 根岸2丁目12-11 スタジオよもだ,,0,上野,上野|浅草|御徒町|蔵前,日暮里駅,日暮里駅,722.0,,,,primary_area=上野,20,+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,スタジオよもだB館,〒110-0003 東京都台東区根岸２丁目１７-１,,0,上野,上野|浅草|御徒町|蔵前,日暮里駅,日暮里駅|上野駅,744.0,,,,primary_area=上野,20,+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,スタジオ阿弥陀,〒110-0004 東京都台東区下谷１丁目８-２０ 長松寺,,0,上野,上野|浅草|御徒町|蔵前,上野駅,上野駅,773.0,,,,primary_area=上野,20,+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,ブルースペース上野御徒町,〒110-0005 東京都台東区上野３丁目１３-１０ トミヤマビル B1F,,0,上野,上野|浅草|御徒町|蔵前,秋葉原駅,秋葉原駅|上野駅,725.0,,,,primary_area=上野,20,+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,SPACE AVAILABLE 浅草橋,〒111-0053 東京都台東区浅草橋１丁目１２-３ KSビル B1F,,0,上野,上野|浅草|御徒町|蔵前,秋葉原駅,秋葉原駅|蔵前駅,864.0,,,,primary_area=上野,20,+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,レンタルスタジオALOALO,〒110-0016 東京都台東区台東４丁目３１-５ オリオンビル B1,,0,上野,上野|浅草|御徒町|蔵前,上野駅,上野駅|秋葉原駅,717.0,,,,primary_area=上野,50,+20(rental=1)|+30(レンタルスタジオ),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,レンタルスタジオEVERGREEN,〒110-0005 東京都台東区上野３丁目２０-１０ 木下ビル3階,,0,上野,上野|浅草|御徒町|蔵前,秋葉原駅,秋葉原駅|上野駅,779.0,,,,primary_area=上野,50,+20(rental=1)|+30(レンタルスタジオ),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,秋葉原スクエアスタジオ,〒111-0053 東京都台東区浅草橋５丁目３-２ 秋葉原スクエアビル 1F,,0,上野,上野|浅草|御徒町|蔵前,秋葉原駅,秋葉原駅|蔵前駅,615.0,,,,primary_area=上野,20,+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,秋葉原ブルーハス レンタルスタジオ,〒110-0006 東京都台東区秋葉原３-１０ 東京商会秋葉原ビルB1階,,0,上野,上野|浅草|御徒町|蔵前,秋葉原駅,秋葉原駅,393.0,,,,primary_area=上野,50,+20(rental=1)|+30(レンタルスタジオ),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,秋葉原レンタルスペース.東京,〒101-0021 東京都千代田区外神田５丁目５-７ パンセ秋葉原 B1F,,0,秋葉原,秋葉原,秋葉原駅,秋葉原駅|上野駅,633.0,,,,tag/station:上野,40,+20(rental=1)|+20(web),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,スタジオＲ,〒110-0001 東京都台東区谷中２丁目８-１２,,0,上野,上野|浅草|御徒町|蔵前,日暮里駅,日暮里駅,757.0,,,,primary_area=上野,20,+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,浅草スタジオ２２６,〒111-0033 東京都台東区花川戸２丁目２-６ エビスビル 7階,,0,上野,上野|浅草|御徒町|蔵前,浅草駅,浅草駅|押上駅,459.0,,,,primary_area=上野,20,+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,布川ダンスカンパニー,〒111-0036 東京都台東区松が谷１丁目９-１３ 高橋総本店,,0,上野,上野|浅草|御徒町|蔵前,浅草駅,浅草駅|蔵前駅|上野駅,799.0,,,,primary_area=上野,20,+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,スタジオ五軒町／『鏡張り』の多目的に利用できる『防音』スタジオ,東京都千代田区外神田6-16-1,https://dance-studio-lab.com/room/ODZiZjA3NDItNjk4ZS00YjMxLWFjMGQtMGU5ZjVkZDg5OWQw/detail,1,秋葉原,秋葉原,湯島駅,湯島駅|御徒町駅|京成上野駅|御茶ノ水駅|新御徒町駅|新御茶ノ水駅|岩本町駅|上野駅|神田駅|根津駅,308.0,,,,tag/station:上野,50,+30(dslurl)|+20(rental=1),0,1
上野のレンタルダンススタジオおすすめ,エリア,S,SPICYCANDY DANCESTUDIO,東京都台東区浅草橋4-2-8伊藤ビル1階,https://dance-studio-lab.com/room/NGFjMTNkYTgtNmQ4My00ZTgxLWI3ZmYtMjM4OGVjNDM4Yjk3/detail,1,上野,上野,浅草橋駅,浅草橋駅|馬喰町駅|岩本町駅|両国駅|新御徒町駅|神田駅|御徒町駅|人形町駅|三越前駅|湯島駅,341.0,,,,primary_area=上野,50,+30(dslurl)|+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,ABC明大前スタ,〒156-0043 東京都世田谷区松原１丁目２４-１１,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,明大前駅,明大前駅|東松原駅|新代田駅|代田橋駅|下高井戸駅|梅ヶ丘駅|松原駅|世田谷代田駅|下北沢駅|豪徳寺駅,370.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,BRONX RENTAL STUDIO,〒155-0031 東京都世田谷区北沢２丁目５-１０,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,下北沢駅,下北沢駅,106.0,,,,primary_area=下北沢,50,+20(rental=1)|+30(レンタルスタジオ),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,ダンススタジオ・レンタルスタジオ_DANCE SPACE 365,〒156-0041 東京都世田谷区大原１丁目２４-４ ローザ新代田 B1-2号室,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,下北沢駅,下北沢駅,869.0,,,,primary_area=下北沢,50,+20(rental=1)|+30(レンタルスタジオ),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,スタジオセンティード Studio SENTIDO（レンタルスタジオ）,〒155-0031 東京都世田谷区北沢２丁目１８-５ 地下１階,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,下北沢駅,下北沢駅,253.0,,,,primary_area=下北沢,70,+20(rental=1)|+30(レンタルスタジオ)|+20(web),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,スタジオジパング 梅ヶ丘スタジオPRO,〒154-0022 東京都世田谷区梅丘１丁目３３-９ モンド梅ヶ丘ビル地下1階,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,梅ヶ丘駅,梅ヶ丘駅|豪徳寺駅|山下駅|東松原駅|世田谷代田駅|新代田駅|松原駅|宮の坂駅|若林駅|明大前駅,94.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,駒澤大学店 レンタルダンススタジオ ＲＯＯＴＳ,〒154-0012 東京都世田谷区駒沢３丁目１-３ シャトレー駒沢 ２０４,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,駒沢大学駅,駒沢大学駅|桜新町駅|松陰神社前駅|世田谷駅|上町駅|若林駅|西太子堂駅|三軒茶屋駅,522.0,,,,primary_area=下北沢,60,+20(rental=1)|+40(レンタルダンス),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,池ノ上道場 / 池ノ上スタジオ Ikenoue-dojo/Ikenoue studio,〒155-0032 東京都世田谷区代沢２丁目４８-２１ ２階,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,下北沢駅,下北沢駅,520.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,FIVE O DANCE STUDIO 二子玉川,〒157-0077 東京都世田谷区鎌田２丁目２５-９,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,二子玉川駅,二子玉川駅|二子新地駅|久地駅,1762.0,,,,primary_area=下北沢,45,+20(rental=1)|+25(ダンススタジオ),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,Infinity Gym チアダンス・チアリーディング,〒157-0074 東京都世田谷区大蔵１丁目２-２７,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,千歳船橋駅,千歳船橋駅|祖師ヶ谷大蔵駅|用賀駅,1321.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,J's,〒158-0097 東京都世田谷区用賀３丁目２５-９,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,用賀駅,用賀駅|桜新町駅|上町駅|世田谷駅,485.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,J’Z STUDIO 千歳烏山店,〒157-0062 東京都世田谷区南烏山６丁目６-６?２ サンマルシェビルB1F,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,千歳烏山駅,千歳烏山駅|芦花公園駅|八幡山駅|仙川駅|富士見ヶ丘駅,121.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,NATURAglam 経堂スタジオ,〒156-0052 東京都世田谷区経堂１丁目２５-１８ 吉川水産ビル3階,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,経堂駅,経堂駅|宮の坂駅|山下駅|上町駅|千歳船橋駅|豪徳寺駅|松原駅|世田谷駅|梅ヶ丘駅|松陰神社前駅,268.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,neu 168 Dance Studio,〒156-0057 東京都世田谷区上北沢３丁目３３-５,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,上北沢駅,上北沢駅|八幡山駅|桜上水駅|芦花公園駅|浜田山駅|西永福駅|下高井戸駅|高井戸駅|松原駅|永福町駅,94.0,,,,primary_area=下北沢,45,+20(rental=1)|+25(ダンススタジオ),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,スタジオ白猫屋 経堂R店,〒156-0052 東京都世田谷区経堂１丁目１１-１３ 長島ビル 3Ｆ,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,経堂駅,経堂駅|宮の坂駅|山下駅|豪徳寺駅|上町駅|千歳船橋駅|松原駅|世田谷駅|梅ヶ丘駅|松陰神社前駅,203.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,リリィ スタジオ&カフェ レンタルカフェ,〒156-0052 東京都世田谷区経堂２丁目７-１４-１０２,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,経堂駅,経堂駅|松原駅|山下駅|宮の坂駅|豪徳寺駅|千歳船橋駅|上町駅|下高井戸駅|桜上水駅|梅ヶ丘駅,261.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,レンタルスタジオ スタジオザルツ,〒157-0065 東京都世田谷区上祖師谷１丁目３６-５ ル・クレール 地下一階,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,千歳烏山駅,千歳烏山駅|芦花公園駅|仙川駅|八幡山駅,216.0,,,,primary_area=下北沢,50,+20(rental=1)|+30(レンタルスタジオ),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,Rinky Dink Studio 梅ヶ丘,〒154-0022 東京都世田谷区梅丘１丁目２１-７ ３階～４階 梅丘駅前ビル,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,梅ヶ丘駅,梅ヶ丘駅|豪徳寺駅|山下駅|世田谷代田駅|東松原駅|新代田駅|松原駅|宮の坂駅|若林駅|松陰神社前駅,36.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,桜新町studio,〒154-0015 東京都世田谷区桜新町１丁目３３-１３,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,桜新町駅,桜新町駅|用賀駅|駒沢大学駅|上野毛駅|上町駅|世田谷駅,469.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,レンタルスタジオマイレッスン 三軒茶屋店,〒154-0024 東京都世田谷区三軒茶屋１丁目３０-９,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,三軒茶屋駅,三軒茶屋駅,235.0,,,,primary_area=下北沢,50,+20(rental=1)|+30(レンタルスタジオ),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,レンタルスタジオKACHA,〒158-0097 東京都世田谷区用賀２丁目３８-１４ 天虎ビル 202,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,用賀駅,用賀駅|桜新町駅|上野毛駅|二子玉川駅,130.0,,,,primary_area=下北沢,50,+20(rental=1)|+30(レンタルスタジオ),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,STUDIO ELEVATE スタジオエレベート,〒154-0024 東京都世田谷区三軒茶屋２丁目１１-２４ サンタワーズＡ 棟401,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,三軒茶屋駅,三軒茶屋駅,265.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,アトリエ エマーブル,〒158-0097 東京都世田谷区用賀３丁目１８-８ セントラルSOUI103,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,用賀駅,用賀駅|桜新町駅|上町駅,374.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,Studio Liberty,〒158-0091 東京都世田谷区１５ 中町4-15-9 B１,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,上野毛駅,上野毛駅|等々力駅|用賀駅|桜新町駅|尾山台駅|二子玉川駅,875.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,studio LOOP,〒156-0054 東京都世田谷区桜丘４丁目２４-２０ ユニバーサルビル 2F,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,千歳船橋駅,千歳船橋駅|祖師ヶ谷大蔵駅|成城学園前駅|経堂駅,817.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,アテール明大前第１スタジオ（レンタルスタジオTerritory M ）,〒156-0043 東京都世田谷区松原２丁目４２-７ 第２松岡ビル ２F,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,明大前駅,明大前駅|下高井戸駅|代田橋駅|東松原駅|永福町駅|松原駅|新代田駅|梅ヶ丘駅|桜上水駅|西永福駅,170.0,,,,primary_area=下北沢,50,+20(rental=1)|+30(レンタルスタジオ),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,Sweet Fairy バレエスタジオ,〒156-0057 東京都世田谷区上北沢１丁目３６-８,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,上北沢駅,上北沢駅|桜上水駅|八幡山駅|芦花公園駅|下高井戸駅|松原駅|経堂駅|千歳船橋駅|西永福駅|浜田山駅,508.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,Tap&Soul,〒156-0043 東京都世田谷区松原２丁目２９-４ メナージュ明大前,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,明大前駅,明大前駅|下高井戸駅|東松原駅|松原駅|代田橋駅|新代田駅|永福町駅|梅ヶ丘駅|山下駅|豪徳寺駅,226.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,YBS Yukino Ballet Studio,〒156-0041 東京都世田谷区大原２丁目２３-１５ 大原アジアビル 7階,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,代田橋駅,代田橋駅|笹塚駅|明大前駅|新代田駅|東松原駅|方南町駅|下北沢駅|東北沢駅|世田谷代田駅|幡ヶ谷駅,205.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,アトリエ ベラーノ,〒157-0062 東京都世田谷区南烏山４丁目１３-３ スター ホームズ 千歳烏山 地階118号 スターホームズ千歳烏山,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,千歳烏山駅,千歳烏山駅|芦花公園駅|八幡山駅|仙川駅|富士見ヶ丘駅|高井戸駅|上北沢駅,195.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,あやこバレエスタジオ,〒156-0051 東京都世田谷区４６ 宮坂3-46-3-1F,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,経堂駅,経堂駅|松原駅|千歳船橋駅|山下駅|豪徳寺駅|宮の坂駅|桜上水駅|下高井戸駅|上北沢駅|上町駅,569.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,アリスト バレエスタジオ,〒155-0031 東京都世田谷区北沢２丁目９-２１ ミナミ10号館ビル 4階,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,下北沢駅,下北沢駅,51.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,アロハホヌアフラスタジオ&レンタルスタジオ経堂,〒156-0052 東京都世田谷区経堂１丁目５-６ パルファム経堂 B1,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,経堂駅,経堂駅|宮の坂駅|上町駅|山下駅|千歳船橋駅|豪徳寺駅|世田谷駅|松原駅|松陰神社前駅|梅ヶ丘駅,334.0,,,,primary_area=下北沢,50,+20(rental=1)|+30(レンタルスタジオ),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,サムズダンススタジオ,〒158-0097 東京都世田谷区用賀４丁目１１-４ 福島第一ビル 2F,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,用賀駅,用賀駅|桜新町駅|上野毛駅|二子玉川駅,85.0,,,,primary_area=下北沢,45,+20(rental=1)|+25(ダンススタジオ),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,スキップスタジオ成城,〒157-0066 東京都世田谷区成城１丁目１-５,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,成城学園前駅,成城学園前駅|祖師ヶ谷大蔵駅|喜多見駅,1019.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,スタジオR&Y,〒154-0011 東京都世田谷区上馬２丁目３１-１３ フラワーホーム102,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,三軒茶屋駅,三軒茶屋駅,624.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,スタジオアニマーダ,〒154-0024 東京都世田谷区三軒茶屋１丁目１６-８,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,三軒茶屋駅,三軒茶屋駅,423.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,スタジオハクーロ,〒155-0032 東京都世田谷区代沢２丁目４６ 三宅ビル,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,下北沢駅,下北沢駅,379.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,スタジオマーティ 駒沢大学 / STUDIO marty Komazawa,〒154-0011 東京都世田谷区上馬２丁目２-５ ２F,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,三軒茶屋駅,三軒茶屋駅,973.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,スタジオルゥ,〒155-0031 東京都世田谷区北沢１丁目３９-７ ＳＡビル 2F N,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,下北沢駅,下北沢駅,90.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
下北沢のレンタルダンススタジオおすすめ,エリア,S,個室レンタルジム AllDayGym 松陰神社店,〒154-0023 東京都世田谷区若林４丁目１７-１２ プルミエール松陰神社 202,,0,下北沢,下北沢|三軒茶屋|二子玉川|自由が丘,松陰神社前駅,松陰神社前駅|若林駅|世田谷駅|上町駅|西太子堂駅|宮の坂駅|梅ヶ丘駅|豪徳寺駅|山下駅|三軒茶屋駅,191.0,,,,primary_area=下北沢,20,+20(rental=1),0,1
