article_title,article_type,article_priority,candidate_count,partner_count,non_partner_count,sample_studios,status
蒲田のレンタルダンススタジオおすすめ,エリア,A,20,0,20,蒲田・矢口渡レンタルスタジオ momobana|レンタルスタジオ N.studio|JOYFIT24 石川台,OK
西葛西のレンタルダンススタジオおすすめ,エリア,A,18,1,17,EMI HULA STUDIO|ダンススクエア 葛西スタジオ|江戸川区キッズアクション,OK
調布のレンタルダンススタジオおすすめ,エリア,A,13,0,13,Gloire Ballet Studio|Fali studio ファリ レンタルスペース|J.K.キューブ101スタジオエチュード,少ない
豊洲のレンタルダンススタジオおすすめ,エリア,A,21,0,21,Ballet & Dance DUE|青海R地区|F1 STUDIO,OK
赤羽のレンタルダンススタジオおすすめ,エリア,A,28,0,28,ART GROOVE|SK.DANCE STUDIO 赤羽 チアダンススタジオ|SKYレンタルダンススタジオ,OK
錦糸町のレンタルダンススタジオおすすめ,エリア,A,25,1,24,ACCA STUDIO|Ballet & Dance DUE|Ballet & Dance TRE,OK
国分寺のレンタルダンススタジオおすすめ,エリア,B,11,2,9,BUZZ レンタルスタジオ 西国分寺店|BUZZ レンタルスタジオ 国分寺店|レンタルスタジオクラッセ国分寺,少ない
多摩センターのレンタルダンススタジオおすすめ,エリア,B,9,0,9,Clover 26|CurioSpace多摩センター|K DANCE STUDIO 1024,少ない
小平のレンタルダンススタジオおすすめ,エリア,B,10,0,10,STUDIO CHACHA|カルチャースタジオ花|かよバレエスタジオ,少ない
府中のレンタルダンススタジオおすすめ,エリア,B,5,0,5,Amiバレエアート|Amiバレエダンスアーツ|STUDIO ENOCH,少ない
新小岩のレンタルダンススタジオおすすめ,エリア,B,11,0,11,HIRAYAMA studio立石|Studio GENIE|STUDIOフェーム,少ない
日暮里のレンタルダンススタジオおすすめ,エリア,B,18,1,17,I.G.Oスタジオ|ミライスタジオ上野|KAJIWARA BALLET WORKS,OK
立川のレンタルダンススタジオおすすめ,エリア,B,11,0,11,duobus studio｜デュオバススタジオ|U210 【立川レンタルダンススタジオ】|エーススタジオ,少ない
三鷹のレンタルダンススタジオおすすめ,エリア,C,8,0,8,emotionS Dance Studio|レンタルスタジオOLI（オリ） 三鷹 ［定員30名 教室レッスン、スポットレンタルできます］|三鷹RI劇場(旧名三鷹RIスタジオ),少ない
国立のレンタルダンススタジオおすすめ,エリア,C,7,1,6,BUZZ レンタルスタジオ 西国分寺店|レンタルスタジオ 国立リノ|エコール・ド・バレエ・エタンセル,少ない
日野のレンタルダンススタジオおすすめ,エリア,C,5,0,5,A-KIDS DANCE STUDIO|キッズダンススタジオstudioCROSS（スタジオクロス）高幡不動クラス 日野市 多摩カルチャーセンター|Dance Studio Bingo（日野Bingo）,少ない
東京のレンタルダンススタジオおすすめ,エリア,C,23,1,22,Another ONE+ （銀座レンタルスペース）|ATHLETE Studio|BLM Dance School,OK
東村山のレンタルダンススタジオおすすめ,エリア,C,5,0,5,Fairy Ballet Studio|NML dance studio|スタジオ・アヴァンティ,少ない
上野駅のレンタルダンススタジオおすすめ,駅,S,18,1,17,FunnyTips（ファニーティップス）|ミライスタジオ上野|K'sLinkStudio御徒町,OK
恵比寿駅のレンタルダンススタジオおすすめ,駅,S,40,7,33,渋谷店 レンタルダンススタジオ ＲＯＯＴＳ|レンタルスタジオマイレッスン 渋谷店|中目黒店 レンタルダンススタジオROOTS,OK
新宿駅のレンタルダンススタジオおすすめ,駅,S,63,8,55,スタジオハイシー|ソニズレンタルスタジオ新宿店|BUZZ新宿,OK
東京駅のレンタルダンススタジオおすすめ,駅,S,13,1,12,ATHLETE Studio|HMVP大手町スタジオ|ライトハウス神田,少ない
池袋駅のレンタルダンススタジオおすすめ,駅,S,35,5,30,BUZZ レンタルスタジオ 池袋本店|C Production Dance Studio|BUZZ 池袋西口タワー,OK
渋谷駅のレンタルダンススタジオおすすめ,駅,S,44,12,32,A la neigeバレエ|渋谷店 レンタルダンススタジオ ＲＯＯＴＳ|ARTIST DANCE STUDIO,OK
秋葉原駅のレンタルダンススタジオおすすめ,駅,S,46,4,42,㈱Tera-coya|【レンタルスタジオ】SPICY CANDY【ボディメイク】|ACEスタジオ馬喰町日本橋,OK
中野駅のレンタルダンススタジオおすすめ,駅,A,17,1,16,ソニズレンタルスタジオ東高円寺店|中野 レンタルスタジオ オドリバ|ソニズレンタルスタジオ新中野鍋横第2店,OK
五反田駅のレンタルダンススタジオおすすめ,駅,A,12,0,12,Hidemi Dancing Vida|Pole and Aerial Studio POLISH五反田|SoyLatte STUDIO,少ない
代々木駅のレンタルダンススタジオおすすめ,駅,A,30,4,26,スタジオハイシー|BUZZ レンタルスタジオ新宿4丁目店|レンタルスタジオマイレッスン 新宿御苑前,OK
八王子駅のレンタルダンススタジオおすすめ,駅,A,15,0,15,ＤＡＮＣＥＳＴＵＤＩＯ・ＢＩＮＧＯ|FANTASY DANCE SCHOOL 八王子店|M Ballet Studio,OK
六本木駅のレンタルダンススタジオおすすめ,駅,A,15,2,13,Ballet Studio M'z|Irodori麻布十番|KaQiLa～カキラ～スタジオ／株式会社キッズ・カンパニー,OK
北千住駅のレンタルダンススタジオおすすめ,駅,A,2,0,2,AAPA 日の出町団地スタジオ|レンタルスタジオ Gスクエア,要修正
原宿駅のレンタルダンススタジオおすすめ,駅,A,24,2,22,原宿ダンススタジオ SHIN RENTAL STUDIO|ナ・ホク・オ・カヘアラニ フラ＆タヒチアン|BUZZ SHIBUYA店,OK
吉祥寺駅のレンタルダンススタジオおすすめ,駅,A,19,0,19,[吉祥寺ダンススタジオ] Studio Amrita NORTH|TONIC DANCE STUDIO 吉祥寺|LIMITED Creaation. dance studio,OK
新大久保駅のレンタルダンススタジオおすすめ,駅,A,15,1,14,レンタルダンススタジオ LANDstudio 新宿店|ALOK DANCE DORAMA COMPANY|studio worcle okubo,OK
新橋駅のレンタルダンススタジオおすすめ,駅,A,19,1,18,Another ONE+ （銀座レンタルスペース）|FACTORYカレッタスタジオ|H?lau Hula Coco,OK
有楽町駅のレンタルダンススタジオおすすめ,駅,A,21,2,19,Another ONE+ （銀座レンタルスペース）|FACTORYカレッタスタジオ|H?lau Hula Coco,OK
町田駅のレンタルダンススタジオおすすめ,駅,A,7,0,7,Caribbean explosion|Funky Gang Dance Studio|YOKOTA BASE STUDIO,少ない
目黒駅のレンタルダンススタジオおすすめ,駅,A,16,0,16,Hidemi Dancing Vida|Mailani feel art studio|Pole and Aerial Studio POLISH五反田,OK
立川駅のレンタルダンススタジオおすすめ,駅,A,10,0,10,U210 【立川レンタルダンススタジオ】|エーススタジオ|スタジオ ACTY,少ない
蒲田駅のレンタルダンススタジオおすすめ,駅,A,3,0,3,アメリカンスタイル専門の社交ダンスサークル 【Sunday Dance Cafe】|蒲田COZYレンタルダンススタジオ|梅屋敷スタジオ５０１,要修正
表参道駅のレンタルダンススタジオおすすめ,駅,A,26,1,25,原宿ダンススタジオ SHIN RENTAL STUDIO|ナ・ホク・オ・カヘアラニ フラ＆タヒチアン|CARDIO BARRE SHIBUYA (カーディオ・バー 渋谷店),OK
西武新宿駅のレンタルダンススタジオおすすめ,駅,A,22,4,18,ソニズレンタルスタジオ新宿店|BUZZ新宿|BUZZ レンタルスタジオ新宿コンシェルジュ店,OK
赤坂駅のレンタルダンススタジオおすすめ,駅,A,18,1,17,ACFit 赤坂見附スタジオ|Ballet Studio M'z|DAYS赤坂見附,OK
錦糸町駅のレンタルダンススタジオおすすめ,駅,A,8,1,7,Ballet & Dance TRE|Ballet & Dance UNO|スタジオジパング 錦糸町スタジオSTANDARD,少ない
高田馬場駅のレンタルダンススタジオおすすめ,駅,A,29,3,26,スタジオキャンパス 高田馬場店|SHOJIN Show-Base Tokyo|BUZZ レンタルスタジオ 高田馬場店,OK
三軒茶屋駅のレンタルダンススタジオおすすめ,駅,B,9,0,9,レンタルスタジオマイレッスン 三軒茶屋店|STUDIO ELEVATE スタジオエレベート|スタジオR&Y,少ない
三鷹駅のレンタルダンススタジオおすすめ,駅,B,6,0,6,emotionS Dance Studio|レンタルスタジオOLI（オリ） 三鷹 ［定員30名 教室レッスン、スポットレンタルできます］|三鷹RI劇場(旧名三鷹RIスタジオ),少ない
下北沢駅のレンタルダンススタジオおすすめ,駅,B,11,0,11,BRONX RENTAL STUDIO|ダンススタジオ・レンタルスタジオ_DANCE SPACE 365|スタジオセンティード Studio SENTIDO（レンタルスタジオ）,少ない
国分寺駅のレンタルダンススタジオおすすめ,駅,B,11,2,9,BUZZ レンタルスタジオ 西国分寺店|BUZZ レンタルスタジオ 国分寺店|レンタルスタジオクラッセ国分寺,少ない
学芸大学駅のレンタルダンススタジオおすすめ,駅,B,6,0,6,Dancing Appaloosa ダンシング アパルーサ|スタジオエイル|スタジオフラップ,少ない
日暮里駅のレンタルダンススタジオおすすめ,駅,B,15,1,14,I.G.Oスタジオ|ミライスタジオ上野|BUZZ レンタルスタジオ 上野店,OK
池尻大橋駅のレンタルダンススタジオおすすめ,駅,B,6,0,6,Dance Studio Linda 中目黒|Studio B|池尻大橋レンタルスタジオY3,少ない
自由が丘駅のレンタルダンススタジオおすすめ,駅,B,11,0,11,?JDS 自由が丘のレンタルスタジオ|CARDIO BARRE JIYUGAOKA (カーディオ・バー 自由が丘店)|Musa studio《自由が丘レンタルスタジオ》,少ない
麻布十番駅のレンタルダンススタジオおすすめ,駅,B,12,0,12,FREEDA LIFESTYLE＋|Irodori麻布十番|JK Studio 赤羽橋,少ない
南阿佐ケ谷駅のレンタルダンススタジオおすすめ,駅,C,5,0,5,レンタルスタジオOLI|ソニズレンタルスタジオ南阿佐ヶ谷店|TONIC DANCE STUDIO 阿佐ヶ谷,少ない
四谷三丁目駅のレンタルダンススタジオおすすめ,駅,C,6,0,6,ラシーヌスタジオ|ENCE Rental Studio 四谷三丁目【新宿エリアのレンタルスタジオ】|Studio sun and moon,少ない
外苑前駅のレンタルダンススタジオおすすめ,駅,C,6,0,6,dスタ（レンタルスタジオ）|rjspace外苑前駅4番出口|SOUTH MINT STUDIO 南青山,少ない
大井町駅のレンタルダンススタジオおすすめ,駅,C,4,0,4,studio opus-スタジオ オープス-|大井町店 レンタルスペースROOTS|ルミエールバレエスタジオ,要修正
大塚駅のレンタルダンススタジオおすすめ,駅,C,3,2,1,monoダンススタジオ-レンタル|Dubway レンタルスタジオ大塚|レンタルスタジオAivic大塚,要修正
大泉学園駅のレンタルダンススタジオおすすめ,駅,C,4,0,4,ＭＩＫＩバレエスタジオ|レキップバレエスタジオ|レンタルスタジオ ワンデースタジオ,要修正
小岩駅のレンタルダンススタジオおすすめ,駅,C,3,1,2,スタジオ・エルカミーノ|スタジオレブローテ|Dubway レンタルスタジオ小岩,要修正
府中駅のレンタルダンススタジオおすすめ,駅,C,1,0,1,ジムスタジオ IT'S MY TIME府中駅前店,要修正
押上駅のレンタルダンススタジオおすすめ,駅,C,10,1,9,ACCA STUDIO|Ballet & Dance TRE|Ballet & Dance UNO,少ない
早稲田駅のレンタルダンススタジオおすすめ,駅,C,2,0,2,HARA Studio|バレエアトリエリュミエール,要修正
江戸川橋駅のレンタルダンススタジオおすすめ,駅,C,7,1,6,Ohana Room Studio新宿|スペーススタジオ - Fresh!Studio|ヨガスタジオ Peace of Mind,少ない
浜松町駅のレンタルダンススタジオおすすめ,駅,C,16,0,16,FACTORYカレッタスタジオ|FREEDA LIFESTYLE＋|スタジオ アーキタンツ architanz,OK
浦安駅のレンタルダンススタジオおすすめ,駅,C,5,0,5,ダンススクエア 浦安スタジオ|MKH dance fit studio|Studio Faith（スタジオフェイス）浦安校,少ない
用賀駅のレンタルダンススタジオおすすめ,駅,C,4,0,4,J's|レンタルスタジオKACHA|アトリエ エマーブル,要修正
田町駅のレンタルダンススタジオおすすめ,駅,C,6,0,6,スタジオ アーキタンツ architanz|スタジオマーティ|スタジオマーティ 東京三田慶応 / STUDIO marty Tokyo Mita Keio,少ない
神保町駅のレンタルダンススタジオおすすめ,駅,C,16,1,15,alt studio (オルトスタジオ)|Estudio ILIA FLAMENCA|EyeCandyポールダンス秋葉原スタジオ,OK
経堂駅のレンタルダンススタジオおすすめ,駅,C,5,0,5,NATURAglam 経堂スタジオ|スタジオ白猫屋 経堂R店|リリィ スタジオ&カフェ レンタルカフェ,少ない
聖蹟桜ヶ丘駅のレンタルダンススタジオおすすめ,駅,C,4,0,4,K DANCE STUDIO 1024|キッズダンススタジオstudioCROSS（スタジオクロス）聖蹟桜ヶ丘クラス 多摩市 多摩カルチャーセンター|Ballet Fl?gel バレエフリューゲル,要修正
葛西駅のレンタルダンススタジオおすすめ,駅,C,6,0,6,ダンススクエア 葛西スタジオ|Lanikai Dance Studio|ナガトスタジオ,少ない
蔵前駅のレンタルダンススタジオおすすめ,駅,C,5,0,5,アナログスタジオ|OnePlace Dance Studio|ムーンプレイス レンタルスタジオ蔵前,少ない
西荻窪駅のレンタルダンススタジオおすすめ,駅,C,6,0,6,レンタルスタジオ西荻リノ|スタジオLINOVA（リノ・バ）|MCSpace,少ない
調布駅のレンタルダンススタジオおすすめ,駅,C,6,0,6,スタジオ川口|ソードミュージック多目的スタジオ|スタジオ白猫屋 調布店,少ない
都立大学駅のレンタルダンススタジオおすすめ,駅,C,2,0,2,ノアスタジオ 都立大２号店|ノアスタジオ 都立大店（ダンス・演劇）,要修正
駒込駅のレンタルダンススタジオおすすめ,駅,C,6,0,6,ART GROOVE|レンタルスタジオSunny 駒込店|ナッツ・レンタル・スタジオ,少ない
24時間使えるレンタルダンススタジオ 東京,条件,S,823,17,806,スタジオハイシー|レンタルスタジオswamp西新宿|ソニズレンタルスタジオ新宿店,OK
安いレンタルダンススタジオ 東京,条件,S,0,0,0,,要修正
少人数向けレンタルダンススタジオ 東京,条件,S,0,0,0,,要修正
駅近のレンタルダンススタジオ 東京,条件,S,685,40,645,レンタルスタジオswamp西新宿|ソニズレンタルスタジオ新宿店|BUZZ新宿,OK
初心者向けダンススタジオ 東京,条件,A,0,0,0,,要修正
大人数対応ダンススタジオ 東京,条件,A,0,0,0,,要修正
深夜利用OKのダンススタジオ 東京,条件,A,823,17,806,スタジオハイシー|レンタルスタジオswamp西新宿|ソニズレンタルスタジオ新宿店,OK
鏡付きレンタルダンススタジオ 東京,条件,A,45,45,0,BUZZ新宿|BUZZ レンタルスタジオ新宿コンシェルジュ店|BUZZ レンタルスタジオ 新宿ハウス店,OK
撮影可能なダンススタジオ 東京,条件,B,38,33,5,BUZZ レンタルスタジオ新宿コンシェルジュ店|BUZZ レンタルスタジオ 渋谷PARK店|studio_MINT 錦糸町,OK
防音完備のダンススタジオ 東京,条件,B,2,1,1,MDL Studio (防音スタジオ)|スタジオ五軒町／『鏡張り』の多目的に利用できる『防音』スタジオ,要修正
