studio_title,address,website,phone,dslurl,is_partner,candidate_article_count,s_article_count,api_priority_score,api_target_reason
BEATs レンタルスタジオ ビーツ,東京都渋谷区代々木1-42-2 藤ビル2階,,,https://dance-studio-lab.com/room/ZWU0MDNlZTUtMDE1Zi00NDcyLWFjZjgtZTAzNzUzZTAwMzNj/detail,1,6,4,160,提携スタジオ|S優先度記事×4|複数記事候補×6
ザ・スペース大久保南口,東京都渋谷区桜丘町29-17 さくらマンション205,,,https://dance-studio-lab.com/room/ZDRhYmIxMjgtNzhkMy00Yjk1LTk2MzItNTdiZWJmY2VkYWZk/detail,1,6,4,160,提携スタジオ|S優先度記事×4|複数記事候補×6
チェリッシュスタジオ1号館/6号館,東京都渋谷区円山町20-1 新大宗円山ビル別館3階,http://cherish-studio.com/01st,,https://dance-studio-lab.com/room/Njc0MjgwMDUtMzBjZS00ZmU5LWFkNzgtYTE3Y2U5NDMyYmU0/detail,1,5,4,155,提携スタジオ|S優先度記事×4|複数記事候補×5
チェリッシュスタジオ7号館,東京都渋谷区桜丘町29-17 さくらマンション205,http://cherish-studio.com/04st/,,https://dance-studio-lab.com/room/MjQ5NGIyOTEtZTVmOS00MzZkLWIzNGYtYTFkMmVhOWZiYTE5/detail,1,5,4,155,提携スタジオ|S優先度記事×4|複数記事候補×5
チェリッシュスタジオ4号館/8号館,東京都渋谷区桜丘町29-17 さくらマンション205,http://cherish-studio.com/04st/,,https://dance-studio-lab.com/room/NmJiNDI1YTQtN2EwMi00ODFjLWE0OTMtMjUyYzk4ODY2NGY5/detail,1,5,4,155,提携スタジオ|S優先度記事×4|複数記事候補×5
日本橋PACMAN（ニホンバシパックマン）,〒103-0021 東京都中央区日本橋本石町４丁目５-５ 藤ビル 地下1階,https://pacman.tokyo/,03-6260-9526,,0,7,5,150,S優先度記事×5|複数記事候補×7|候補少記事に出現
ライトハウス神田,〒103-0021 東京都中央区日本橋本石町４丁目５-８,https://www.instabase.jp/space/7443145996,,,0,7,5,150,S優先度記事×5|複数記事候補×7|候補少記事に出現
チェリッシュスタジオ5号館,東京都渋谷区道玄坂1-16-6 二葉ビル7D,http://cherish-studio.com/05st/,,https://dance-studio-lab.com/room/NTRjMDczNjgtY2EzMy00YjE4LWJlMjYtYmExOTZiYTBmZWZk/detail,1,4,4,150,提携スタジオ|S優先度記事×4|複数記事候補×4
studio_MINT 錦糸町,〒130-0012 東京都墨田区太平３丁目１-４,https://eaglet01.com/,090-3312-9984,https://dance-studio-lab.com/room/ZDgyZDBlYjYtZWM1YS00MGNhLWI3YjEtZjRmNTEzZmU5NjE4/detail,1,8,2,145,提携スタジオ|S優先度記事×2|複数記事候補×8|候補少記事に出現
レンタルスタジオAivic新橋,"東京都港区西新橋1-16-14 宮川ビル4階
",,,https://dance-studio-lab.com/room/M2EyMzEzOTUtMjkwNC00MmRlLWI3YWEtYjBiMmM1NGUzYzhl/detail,1,7,3,145,提携スタジオ|S優先度記事×3|複数記事候補×7
BUZZ レンタルスタジオ 西国分寺店,〒185-0024 東京都国分寺市泉町３丁目３７-２５ 天龍ビル B1,,,https://dance-studio-lab.com/room/ZDcyMzBmZWYtMzdiYS00YjY0LThmOGEtZDJjMzQxNTVlZDA2/detail,1,7,2,140,提携スタジオ|S優先度記事×2|複数記事候補×7|候補少記事に出現
BUZZ レンタルスタジオ 六本木店,〒106-0032 東京都港区六本木４丁目５-７ スタジオＤ 地下1階,,,https://dance-studio-lab.com/room/MGYxY2IwOWYtNDQ4ZS00MmEyLTliYTAtNzg1YjUyOTA0OTlj/detail,1,6,3,140,提携スタジオ|S優先度記事×3|複数記事候補×6
Dubway レンタルスタジオ中野,東京都中野区5-32-6 城西ビルB02,,,https://dance-studio-lab.com/room/MzFmYWU5ZjgtNmM0NC00MDYzLTljOGUtMjFlZDI1MmVhMDE5/detail,1,6,3,140,提携スタジオ|S優先度記事×3|複数記事候補×6
ラシーヌスタジオ,〒160-0004 東京都新宿区四谷４丁目２５-１３ 濱庄ビル B101,https://racinestudio.com/,,,0,5,5,140,S優先度記事×5|複数記事候補×5|候補少記事に出現
ラシーヌスタジオ,〒160-0004 東京都新宿区四谷４丁目２５-１３ 濱庄ビル B101,https://racinestudio.com/,,,0,5,5,140,S優先度記事×5|複数記事候補×5|候補少記事に出現
Ｍ＆Ｓダンススタジオ,〒151-0051 東京都渋谷区千駄ケ谷５丁目１１-１３ 俳協ビル B1,http://www.msc-dance.net/,03-3350-5350,,0,7,5,135,S優先度記事×5|複数記事候補×7
BUZZ レンタルスタジオ 国分寺店,〒185-0021 東京都国分寺市南町３丁目２７-７ 白馬ビル B1F,,,https://dance-studio-lab.com/room/ZjIzMWQ0ZjctM2ViOC00Yzg1LWExMzMtMGFkZDYwYzg1Mjhj/detail,1,6,2,135,提携スタジオ|S優先度記事×2|複数記事候補×6|候補少記事に出現
チェリッシュスタジオ3号館／10号館,〒150-0045 東京都渋谷区神泉町２０-２５ 神泉ＱＳビル 4階／7階,http://cherish-studio.com/03st/,03-6277-5760,https://dance-studio-lab.com/room/ODU0ZjgzZjAtNDc3OS00N2YwLTkxZWEtNTNiMTc2MDE4NGRl/detail,1,5,3,135,提携スタジオ|S優先度記事×3|複数記事候補×5
レンタルスタジオAivic神田,"東京都千代田区神田紺屋町21 高山ビル101
",,,https://dance-studio-lab.com/room/MzE4YmJlMGMtZTc3Yy00OTIwLTg3ZTMtZDQxN2E4Yzc1YTFj/detail,1,5,3,135,提携スタジオ|S優先度記事×3|複数記事候補×5
なかすた（スタジオ神田川）,〒164-0013 東京都中野区弥生町５丁目２２-２ ビラフジミ B号室,http://nkn.photographer.tokyo.jp/,090-5495-8257,https://dance-studio-lab.com/room/ODE4NDI3NmEtODY2YS00ZTg2LTgyMzctNzMzNmYwYjNmNDgx/detail,1,5,3,135,提携スタジオ|S優先度記事×3|複数記事候補×5
Cadena Flamenca,〒151-0053 東京都渋谷区代々木１丁目４２-２,https://cadenaflamenca.jp/,03-5304-3535,,0,7,5,135,S優先度記事×5|複数記事候補×7
studio worcle yoyogi,〒151-0053 東京都渋谷区代々木１丁目３６-１２ 2F,https://www.studioworcle.com/yoyogi/,03-6381-6255,,0,7,5,135,S優先度記事×5|複数記事候補×7
BUZZ レンタルスタジオ池袋東口BASE,〒170-0013 東京都豊島区東池袋１丁目３６-７ B1,,,https://dance-studio-lab.com/room/NWY2ZjE2OGUtZDYyYi00ZTk5LThlMjctZDI1YjllMmRjM2Jk/detail,1,5,3,135,提携スタジオ|S優先度記事×3|複数記事候補×5
表参道レンタルスタジオ スタジオ ティノラス,〒107-0062 東京都港区南青山５丁目１３-９,https://www.s-tenoras.com/,03-6418-8181,,0,7,5,135,S優先度記事×5|複数記事候補×7
Beat Box Dance Studio,〒151-0053 東京都渋谷区代々木１丁目４２-２,http://www.beatbox-jp.com/,03-5388-6774,,0,7,5,135,S優先度記事×5|複数記事候補×7
ダンススタジオ石井,〒151-0051 東京都渋谷区千駄ケ谷５丁目４-７,http://www.ds-ishii.com/,03-3350-4310,,0,7,5,135,S優先度記事×5|複数記事候補×7
レンタルスタジオAivic恵比寿2号店,東京都渋谷区恵比寿2-16-16 レクシード恵比寿（旧flegエビスW）111,,,https://dance-studio-lab.com/room/MjM0NzMxMTAtOGQzOS00MDFkLThmMGEtNTgzM2MzMjVjMzlh/detail,1,5,3,135,提携スタジオ|S優先度記事×3|複数記事候補×5
Hina STUDIO(ヒナスタジオ)【新宿西口アネックス】,東京都新宿区西新宿7-15-4　YS第一ビルB1階,https://hinastudio.jp/,,https://dance-studio-lab.com/room/NWQxZDIzMzUtNWMzOC00MzY4LWE4YmYtMWU3MDBkYWM3ZDY2/detail,1,5,3,135,提携スタジオ|S優先度記事×3|複数記事候補×5
Hina STUDIO(ヒナスタジオ)【新宿西口スタジオ】,東京都新宿区西新宿7-10-12　ダイハンビルデンス4階,https://hinastudio.jp/,,https://dance-studio-lab.com/room/ZDEyOTIyNTctYjUwOC00ZTY3LTgxMWYtYTI0MzhkNDg4OGNj/detail,1,5,3,135,提携スタジオ|S優先度記事×3|複数記事候補×5
BUZZ レンタルスタジオ巣鴨店,〒170-0002 東京都豊島区巣鴨２丁目４-６ 第二みどりビル B1,,,https://dance-studio-lab.com/room/MmNjNjkxYjEtYjA5ZC00YTZkLWFjMTAtZmVhYzQ1MGY0M2Uy/detail,1,5,3,135,提携スタジオ|S優先度記事×3|複数記事候補×5
BUZZ レンタルスタジオ 代々木店,〒151-0053 東京都渋谷区代々木１丁目３６-１ ミユキビル B1F,,,,0,7,5,135,S優先度記事×5|複数記事候補×7
ＴＨ会場,〒151-0053 東京都渋谷区代々木２丁目４-１,https://sinjukuth.jimdofree.com/,03-3370-6264,,0,7,5,135,S優先度記事×5|複数記事候補×7
スタジオ五軒町,〒101-0021 東京都千代田区外神田６丁目１６-１ 外神田フジハイツ 地下1階,https://studio-gokencho.com/,,,0,6,5,130,S優先度記事×5|複数記事候補×6
ブルースペース上野御徒町,〒110-0005 東京都台東区上野３丁目１３-１０ トミヤマビル B1F,http://bit.ly/2MTtC4u,070-8440-8407,,0,6,5,130,S優先度記事×5|複数記事候補×6
SPICYCANDY DANCESTUDIO,東京都台東区浅草橋4-2-8伊藤ビル1階,,,https://dance-studio-lab.com/room/NGFjMTNkYTgtNmQ4My00ZTgxLWI3ZmYtMjM4OGVjNDM4Yjk3/detail,1,4,3,130,提携スタジオ|S優先度記事×3|複数記事候補×4
スタジオピアーチェ池袋店,東京都豊島区池袋本町1-7-1　池袋本町ビル地下１階,http://studio-piace.com/access-ikebukuro.html,,https://dance-studio-lab.com/room/YjA4YWEyZDUtYmFmZS00NDQ3LWJjOWYtMzU2MDlmMDc1MTJi/detail,1,4,3,130,提携スタジオ|S優先度記事×3|複数記事候補×4
DANCE WORKS,〒150-0032 東京都渋谷区鶯谷町７-１０ ＮＭＤビル 2F-6F,https://danceworks.jp/,03-5459-1234,,0,6,5,130,S優先度記事×5|複数記事候補×6
Dubway レンタルスタジオ大塚,東京都豊島区北大塚2-10-5 BMAビル　B1,,,https://dance-studio-lab.com/room/ODA1MWRkOGQtODA5Yi00NTRlLWIyNzktZmMyNWFkMTc3ZDY4/detail,1,5,2,130,提携スタジオ|S優先度記事×2|複数記事候補×5|候補少記事に出現
レンタルスタジオALOALO,〒110-0016 東京都台東区台東４丁目３１-５ オリオンビル B1,https://upnow.jp/aloalostudio/%E3%83%AC%E3%83%B3%E3%82%BF%E3%83%AB%E3%82%B9%E3%82%BF%E3%82%B8%E3%82%AAaloalo,080-4818-5577,,0,6,5,130,S優先度記事×5|複数記事候補×6
秋葉原ブルーハス レンタルスタジオ,〒110-0006 東京都台東区秋葉原３-１０ 東京商会秋葉原ビルB1階,https://akihabara.inforent.jp/,03-5822-4050,,0,6,5,130,S優先度記事×5|複数記事候補×6
FunnyTips（ファニーティップス）,〒101-0021 東京都千代田区外神田５丁目５-７ パンセ秋葉原 B1F,https://infofunnytips.wixsite.com/funnytips,03-6684-9954,,0,6,5,130,S優先度記事×5|複数記事候補×6
シャノワールレンタルスタジオ,〒110-0005 東京都台東区上野３丁目１４-５ ヴェルコ黒門ビル 地下1階,https://chatnoir-studio.com/,050-3706-0720,,0,6,5,130,S優先度記事×5|複数記事候補×6
K'sLinkStudio御徒町,〒110-0005 東京都台東区上野３丁目１９-４ フロンティアサカイビル 1F,https://kslink.jp/?page_id=1557,03-4546-1610,,0,6,5,130,S優先度記事×5|複数記事候補×6
Rei Dance Collection 駅前校,〒150-0002 東京都渋谷区渋谷３丁目２８-７ 青ビル B1F,http://www.rei-dance.com/,03-6427-2719,,0,6,5,130,S優先度記事×5|複数記事候補×6
レンタルスタジオAivic大塚,東京都豊島区北大塚2-9-7 豊島電気会館B1,https://www.aivic.jp/wp/studio-otsuka/,,https://dance-studio-lab.com/room/MjU5YzI0ZTUtYzE1MC00ODhmLWI2Y2MtNTk5YTFmMWIwMzZi/detail,1,5,2,130,提携スタジオ|S優先度記事×2|複数記事候補×5|候補少記事に出現
スタジオインディ 東京駅前店,〒104-0031 東京都中央区京橋１丁目４-１１ 竹本ビルディング ４階,https://studioindi.jp/access/tokyo?argument=UxWRQv9t&dmai=a5e0703f812c34,050-1709-0498,,0,7,4,130,S優先度記事×4|複数記事候補×7|候補少記事に出現
日本橋バレエ＆ダンススタジオ Studio LULL,〒101-0047 東京都千代田区内神田２丁目８-３ 新東ビル 2階,https://coubic.com/studiolullnagi,080-9648-9027,,0,7,4,130,S優先度記事×4|複数記事候補×7|候補少記事に出現
ATHLETE Studio,〒101-0044 東京都千代田区鍛冶町１丁目８-１ SRビル 3F,https://www.athletestudio.org/,03-6413-7889,,0,6,4,125,S優先度記事×4|複数記事候補×6|候補少記事に出現
BUZZ竹ノ塚,〒121-0823 東京都足立区伊興３丁目１８-１９ ＮＹビル 3階,,,https://dance-studio-lab.com/room/Zjk4YThkNDItZDI4OC00MTRlLTg2NDgtYTgxZDUyYjgxMjQ2/detail,1,6,2,120,提携スタジオ|S優先度記事×2|複数記事候補×6
レンタルスタジオAivic築地,東京都中央区築地2-10-9 HARVEY築地4階,,,https://dance-studio-lab.com/room/Y2UzMzcxZTMtNDhlNS00ODEwLWJlOGYtZjA1ZjM5Y2YxNjE0/detail,1,5,2,115,提携スタジオ|S優先度記事×2|複数記事候補×5
JOINT STUDO Harajuku,〒150-0001 東京都渋谷区神宮前４丁目２９-９ Ondenビル B1,https://joint-harajuku.com/,03-6455-5356,,0,7,4,115,S優先度記事×4|複数記事候補×7
宮益坂十間スタジオ,〒150-0002 東京都渋谷区渋谷１丁目１０-７ Ⅲ B1 (受付・Bスタジオ)、北館5F(Aスタジオ 宮益坂Stビル,http://www.jikkenst.com/,03-6712-5853,,0,7,4,115,S優先度記事×4|複数記事候補×7
レンタルスタジオAivic高田馬場,東京都新宿区高田馬場1-31-8 高田馬場ダイカンプラザ1007,,,https://dance-studio-lab.com/room/M2JhMTAxM2EtZmMxNi00ODUwLTllNjUtNWQ4OTY3NmE2MWZj/detail,1,5,2,115,提携スタジオ|S優先度記事×2|複数記事候補×5
CARDIO BARRE SHIBUYA (カーディオ・バー 渋谷店),〒150-0002 東京都渋谷区渋谷１丁目１４-１１ BCサロン 地下１階,https://cardio-barre.jp/lp/03/?utm_source=facebook&utm_medium=cpc&fbclid=IwAR3Kheu4QwOEsq_Vf6-cZeTgzJ1VLZ2eB-BkHUf42kUJQKr9BH3OyQwSaSg,03-5778-9860,,0,7,4,115,S優先度記事×4|複数記事候補×7
タヒチアンダンススタジオ ライマーラマ表参道,〒150-0001 東京都渋谷区神宮前５丁目１３-１４,https://raimarama.com/tahiti/terms/view/WPT00000008,03-3469-0672,,0,7,4,115,S優先度記事×4|複数記事候補×7
BUZZ赤坂見附 ,東京都港区赤坂3-21-14TS 共和六番館地下1階,,,https://dance-studio-lab.com/room/NjYxZDU0NDMtOGEwNS00MDM3LTllNDktMzAyNTQ0MmVlMTE1/detail,1,5,2,115,提携スタジオ|S優先度記事×2|複数記事候補×5
チェリッシュスタジオ11号館/12号館/13号館/14号館,東京都港区西麻布-2-21-22 WEST麻布2791ビル2階,https://cherish-studio.com/,,https://dance-studio-lab.com/room/ZmMxMTg1ZGQtMjUyZS00NjZlLWE3YzMtZjllNWM1N2JhNTdj/detail,1,5,2,115,提携スタジオ|S優先度記事×2|複数記事候補×5
赤レンガ・ライブスタジオStudioStyle+,〒169-0073 東京都新宿区百人町１丁目２４-８ 1F,https://studiostyle.jp/akarenga-live-studio,090-8306-7493,,0,6,4,110,S優先度記事×4|複数記事候補×6
赤レンガ・バレエスタジオStudioStyle+,〒169-0073 東京都新宿区百人町１丁目２４-８ 3F,https://studiostyle.jp/akarenga-ballet-studio/,090-8306-7493,,0,6,4,110,S優先度記事×4|複数記事候補×6
Dubway レンタルスタジオ小岩,東京都江戸川区北小岩1-3-4 102,,,https://dance-studio-lab.com/room/ZmU2YzI4MzYtZGY2ZC00YmZkLWI5MWItZDg0OTdkOTdmOGI5/detail,1,5,1,110,提携スタジオ|S優先度記事×1|複数記事候補×5|候補少記事に出現
レンタルダンススタジオ LANDstudio 新宿店,〒169-0073 東京都新宿区百人町１丁目２２-１９ 筒井ビル B1F,,,,0,6,4,110,S優先度記事×4|複数記事候補×6
ロジスタイルB StudioStyle+,〒160-0023 東京都新宿区西新宿７丁目１５-１４ FONTAINE三須 1F,https://studiostyle.jp/roji-studio-b/,090-8306-7493,,0,6,4,110,S優先度記事×4|複数記事候補×6
Studioonda大久保,〒169-0073 東京都新宿区百人町１丁目２３-２ 3F,https://studioonda.com/,080-4947-2985,,0,6,4,110,S優先度記事×4|複数記事候補×6
レンタルスタジオAivic池袋東口1号店,東京都豊島区東池袋3-11-9 三島ビル501,,,https://dance-studio-lab.com/room/ZTU1MDVkNDQtZjUzNi00MWRiLWFhMDctZTk3YTg1YjRjNDUx/detail,1,4,2,110,提携スタジオ|S優先度記事×2|複数記事候補×4
CARDIO BARRE SHINJUKU (カーディオ・バー 新宿店),〒160-0022 東京都新宿区新宿４丁目２-１６ パシフィックマークス新宿サウスゲート 2階,https://cardio-barre.jp/lp/03/?utm_source=facebook&utm_medium=cpc&fbclid=IwAR3Kheu4QwOEsq_Vf6-cZeTgzJ1VLZ2eB-BkHUf42kUJQKr9BH3OyQwSaSg,03-5361-6751,,0,6,4,110,S優先度記事×4|複数記事候補×6
外苑前アイランドスタジオ,〒150-0001 東京都渋谷区神宮前３丁目１-２５ 神宮前Ikビル 2階,https://www.ai-land.co.jp/studio/?utm_source=mybusiness,03-5413-7077,,0,7,3,110,S優先度記事×3|複数記事候補×7|候補少記事に出現
ALOK DANCE DORAMA COMPANY,〒169-0073 東京都新宿区百人町１丁目１３-９,http://alokddc.wordpress.com/,03-5386-8192,,0,6,4,110,S優先度記事×4|複数記事候補×6
ノアスタジオ代々木店,〒151-0051 東京都渋谷区千駄ケ谷４丁目２４-１９,https://www.noahstudio.jp/shop/yoyogi/,03-5413-3955,,0,6,4,110,S優先度記事×4|複数記事候補×6
メインスタジオStudio Style+,〒160-0023 東京都新宿区西新宿７丁目２２-３１,https://studiostyle.jp/main-studio/,090-8306-7493,,0,6,4,110,S優先度記事×4|複数記事候補×6
SOUTH MINT STUDIO 南青山,〒107-0062 東京都港区南青山２丁目２７-２０ B1F,https://southmint.jp/,03-6434-9311,,0,7,3,110,S優先度記事×3|複数記事候補×7|候補少記事に出現
スタジオジパング大久保,〒169-0073 東京都新宿区百人町１丁目２３ みなみビル B1,https://studiozipang.com/okubo-standard/,,,0,6,4,110,S優先度記事×4|複数記事候補×6
スタジオスタイルプラス窓口StudioStyle+,〒160-0023 東京都新宿区西新宿７丁目２２-３１ 1F,https://studiostyle.jp/,090-8306-7493,,0,6,4,110,S優先度記事×4|複数記事候補×6
東京バレエ劇場,〒169-0073 東京都新宿区百人町１丁目１６-４,http://tokyo-ballet.com/,03-3361-0958,,0,6,4,110,S優先度記事×4|複数記事候補×6
ノートルスタジオ,〒107-0062 東京都港区南青山３丁目５-１ O&K 南青山,http://notre-studio.com/,03-6721-0035,,0,7,3,110,S優先度記事×3|複数記事候補×7|候補少記事に出現
ノアスタジオ 新宿２号店,〒160-0023 東京都新宿区西新宿７丁目１０-１２,https://www.noahstudio.jp/shop/shinjuku2/,03-5332-8366,,0,6,4,110,S優先度記事×4|複数記事候補×6
studio worcle shinjuku,〒160-0023 東京都新宿区西新宿７丁目１６-７ 第２１フジビル,https://www.studioworcle.com/shinjuku/,03-3361-0123,,0,6,4,110,S優先度記事×4|複数記事候補×6
赤レンガ・プレイスタジオStudioStyle+,〒169-0073 東京都新宿区百人町１丁目２４-８ 3F,https://studiostyle.jp/akarenga-play-studio,090-8306-7493,,0,6,4,110,S優先度記事×4|複数記事候補×6
ソニズレンタルスタジオ新宿店,〒160-0023 東京都新宿区西新宿７丁目２２-３１ 柏木 MURA B1F,https://sonysdance.com/,,,0,6,4,110,S優先度記事×4|複数記事候補×6
BUZZ レンタルスタジオ新宿4丁目店,〒160-0022 東京都新宿区新宿４丁目２-２１ 相模ビル B1F,,,,0,6,4,110,S優先度記事×4|複数記事候補×6
ノアスタジオ 新宿１号店,〒160-0023 東京都新宿区西新宿１丁目３-１４,https://www.noahstudio.jp/shop/shinjuku/,03-5909-0331,,0,6,4,110,S優先度記事×4|複数記事候補×6
レンタルスタジオAivic池袋東口2号店,東京都豊島区東池袋2-57-1 K/B東池袋Ⅱ 5F,,,https://dance-studio-lab.com/room/ZTVmNmYwZGYtZTExNy00YTlkLTk4MDktODhhMWE2ZTYyNmNj/detail,1,4,2,110,提携スタジオ|S優先度記事×2|複数記事候補×4
新宿マイスタジオ,〒160-0023 東京都新宿区西新宿７丁目９-１７ ６F・５F・４F 伊藤ビル,http://shinjukustudio.jp/,03-3364-6820,,0,6,4,110,S優先度記事×4|複数記事候補×6
恵比寿ヒルサイドスタジオ,〒150-0022 東京都渋谷区恵比寿南２丁目２１-８ 恵比寿ファインヒル B１,http://ebisustudio.tokyo/studio/,03-5725-7980,,0,6,4,110,S優先度記事×4|複数記事候補×6
新宿 だんすた レンタルスタジオ,〒160-0023 東京都新宿区西新宿７丁目１３-７ 3F4F タカラビル,https://shinjuku2.inforent.jp/,03-5822-4050,,0,6,4,110,S優先度記事×4|複数記事候補×6
シュミネAスタジオStudioStyle+,〒169-0073 東京都新宿区百人町１丁目２４-７,,090-8306-7493,,0,6,4,110,S優先度記事×4|複数記事候補×6
御茶ノ水 おちゃすた レンタルスタジオ,〒101-0052 東京都千代田区神田小川町３丁目１４-２ 漢陽ビル Ｂ1Ｆ,https://ocha.studiosquare.jp/,03-5822-4050,,0,6,4,110,S優先度記事×4|複数記事候補×6
スタジオインディ 新宿店,〒160-0022 東京都新宿区新宿３丁目２２番１１号 新宿ＲＳビル ６階,https://studioindi.jp/access/shinjuku/?argument=UxWRQv9t&dmai=a5e07032924d4a,050-1709-0496,,0,6,4,110,S優先度記事×4|複数記事候補×6
ROJIスタジオStudioStyle+,〒160-0023 東京都新宿区西新宿７丁目１５-１４,https://studiostyle.jp/roji-studio-b/,090-8306-7493,,0,6,4,110,S優先度記事×4|複数記事候補×6
STUDIO COCORO（スタジオココロ）- 新宿代々木のレンタルスペース&ダンススタジオ - 数々のイベントやメディアに出演,〒151-0053 東京都渋谷区代々木３丁目９-１１,http://studio-cocoro.tokyo/,080-7632-2020,,0,6,4,110,S優先度記事×4|複数記事候補×6
レンタルスタジオ HIKARI 西新宿７丁目,〒160-0023 東京都新宿区西新宿７丁目１０-１７ B館 601号室,https://hikari-studio.net/,050-3196-4716,,0,6,4,110,S優先度記事×4|複数記事候補×6
studio worcle okubo,〒169-0073 東京都新宿区百人町１丁目２１-５ 新宿Stビル,https://www.studioworcle.com/okubo/,03-5358-9082,,0,6,4,110,S優先度記事×4|複数記事候補×6
BUZZ レンタルスタジオ 高田馬場店,〒169-0075 東京都新宿区高田馬場４丁目１４-６ 地下1階 第二長谷川マンション,,,https://dance-studio-lab.com/room/NjZiZWQwNjEtYmU0ZS00MDllLWI0M2UtNmYxZjdhOWUwY2Mz/detail,1,4,2,110,提携スタジオ|S優先度記事×2|複数記事候補×4
目白の杜studio,〒161-0033 東京都新宿区下落合３丁目２０-１１,http://www.mejironomori.com/,03-3951-5888,,0,6,4,110,S優先度記事×4|複数記事候補×6
貸空間スタジオStudioStyle+,〒160-0023 東京都新宿区西新宿７丁目２２-３１ BF 柏木 MURA,https://studiostyle.jp/tenku-dance-studio/,090-8306-7493,,0,6,4,110,S優先度記事×4|複数記事候補×6
