タイトル,住所,dslurl,is_partner,dist_to_station_m,latitude,longitude,primary_station,distance_to_primary_station_m,candidate_stations,ward,primary_area,rental,article_tags,Webサイト,電話番号,営業時間
ノアスタジオ 新宿２号店,〒160-0023 東京都新宿区西新宿７丁目１０-１２,,0,507.2,35.6942501,139.6985113,西武新宿駅,259.0,西武新宿駅|新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,https://www.noahstudio.jp/shop/shinjuku2/,03-5332-8366,"2024-02-29 木曜日 9時00分～6時00分
2024-03-01 金曜日 9時00分～6時00分
2024-03-02 土曜日 9時00分～6時00分
2024-03-03 日曜日 9時00分～23時00分
2024-03-04 月曜日 9時00分～23時00分
2024-03-05 火曜日 9時00分～6時00分
2024-03-06 水曜日 9時00分～6時00分"
Hina STUDIO(ヒナスタジオ)【新宿西口スタジオ】,東京都新宿区西新宿7-10-12　ダイハンビルデンス4階,https://dance-studio-lab.com/room/ZDEyOTIyNTctYjUwOC00ZTY3LTgxMWYtYTI0MzhkNDg4OGNj/detail,1,518.6,35.6943034,139.6982832,新宿西口駅,136.0,新宿西口駅|西武新宿駅|西新宿駅|新宿駅|都庁前駅|新宿三丁目駅|大久保駅|新大久保駅|東新宿駅|代々木駅,新宿区,新宿,1.0,,,,
ジャパンポールダンス,〒160-0021 東京都新宿区歌舞伎町１丁目２３-１２ 第一桑原ビル 5F,,0,525.9,35.6944875,139.7010903,西武新宿駅,161.0,西武新宿駅|新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅,https://www.japan-poledance.com/,03-6233-8042,
レンタルスタジオ HIKARI 西新宿７丁目,〒160-0023 東京都新宿区西新宿７丁目１０-１７ B館 601号室,,0,540.6,35.6945658,139.6985363,西武新宿駅,234.0,西武新宿駅|新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,https://hikari-studio.net/,050-3196-4716,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業"
新宿マイスタジオ,〒160-0023 東京都新宿区西新宿７丁目９-１７ ６F・５F・４F 伊藤ビル,,0,548.5,35.694554,139.6981592,西武新宿駅,263.0,西武新宿駅|新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,http://shinjukustudio.jp/,03-3364-6820,"2024-02-29 木曜日 9時00分～8時00分
2024-03-01 金曜日 9時00分～8時00分
2024-03-02 土曜日 9時00分～8時00分
2024-03-03 日曜日 9時00分～8時00分
2024-03-04 月曜日 9時00分～8時00分
2024-03-05 火曜日 9時00分～8時00分
2024-03-06 水曜日 9時00分～8時00分"
新宿 だんすた レンタルスタジオ,〒160-0023 東京都新宿区西新宿７丁目１３-７ 3F4F タカラビル,,0,621.9,35.6946431,139.6964322,西武新宿駅,398.0,西武新宿駅|新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,https://shinjuku2.inforent.jp/,03-5822-4050,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業"
スタジオハイシー,〒160-0023 東京都新宿区西新宿３丁目２-２７ 第7 7 オーチュー B1階,,0,628.3,35.6871346,139.6938695,新宿駅,714.0,新宿駅|代々木駅|西武新宿駅,新宿区,新宿,1.0,area:新宿|station:新宿駅|station:代々木駅|station:西武新宿駅|feature:24h,https://studio-hide-and-seek.co.jp/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業"
BUZZ レンタルスタジオ 代々木店,〒151-0053 東京都渋谷区代々木１丁目３６-１ ミユキビル B1F,,0,635.8,35.6842213,139.7012401,代々木駅,148.0,代々木駅|新宿駅,渋谷区,渋谷,1.0,area:渋谷|station:代々木駅|station:新宿駅|feature:24h,https://buzz-st.com/yoyogi/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
ロジスタイルB StudioStyle+,〒160-0023 東京都新宿区西新宿７丁目１５-１４ FONTAINE三須 1F,,0,636.8,35.6953046,139.6978413,西武新宿駅,255.0,西武新宿駅|新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,https://studiostyle.jp/roji-studio-b/,090-8306-7493,"オーナーが女性と確認されたビジネス2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
DＡNCE Studio LEON 多目的スタジオ レオン,〒160-0022 東京都新宿区新宿５丁目１７-６ 201,,0,638.3,35.6930362,139.7058494,新宿駅,557.0,新宿駅|西武新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:新宿駅|station:西武新宿駅|station:新大久保駅|feature:24h,http://lilly-company.com/,090-9101-3317,"LGBTQ フレンドリー2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業"
ROJIスタジオStudioStyle+,〒160-0023 東京都新宿区西新宿７丁目１５-１４,,0,646.5,35.6953598,139.6977026,西武新宿駅,265.0,西武新宿駅|新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,https://studiostyle.jp/roji-studio-b/,090-8306-7493,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業"
Hina STUDIO(ヒナスタジオ)【新宿西口アネックス】,東京都新宿区西新宿7-15-4　YS第一ビルB1階,https://dance-studio-lab.com/room/NWQxZDIzMzUtNWMzOC00MzY4LWE4YmYtMWU3MDBkYWM3ZDY2/detail,1,649.2,35.6953158,139.6974593,西武新宿駅,234.0,西武新宿駅|新宿西口駅|西新宿駅|大久保駅|都庁前駅|新宿駅|新大久保駅|新宿三丁目駅|東新宿駅|南新宿駅,新宿区,新宿,1.0,,,,
studio worcle yoyogi,〒151-0053 東京都渋谷区代々木１丁目３６-１２ 2F,,0,653.7,35.684031,139.7010352,代々木駅,141.0,代々木駅|新宿駅,渋谷区,渋谷,1.0,area:渋谷|station:代々木駅|station:新宿駅|feature:24h,https://www.studioworcle.com/yoyogi/,03-6381-6255,"2024-02-29 木曜日 10時00分～23時00分
2024-03-01 金曜日 10時00分～23時00分
2024-03-02 土曜日 9時00分～23時00分
2024-03-03 日曜日 9時00分～23時00分
2024-03-04 月曜日 10時00分～23時00分
2024-03-05 火曜日 10時00分～23時00分
2024-03-06 水曜日 10時00分～23時00分
"
代々木アフタースクールCreo BOX,〒151-0053 東京都渋谷区代々木２丁目３９-６ １F,,0,672.3,35.684666,139.6961331,代々木駅,563.0,代々木駅|新宿駅,渋谷区,渋谷,1.0,area:渋谷|station:代々木駅|station:新宿駅|feature:24h,https://creobox.jp/,03-6876-6472,"LGBTQ フレンドリー2024-02-29 木曜日 15時30分～18時00分
2024-03-01 金曜日 15時30分～18時00分
2024-03-02 土曜日 定休日
2024-03-03 日曜日 定休日
2024-03-04 月曜日 15時30分～18時00分
2024-03-05 火曜日 定休日
2024-03-06 水曜日 15時30分～18時00分
"
BUZZ レンタルスタジオ 新宿ハウス店,〒160-0023 東京都新宿区西新宿７丁目１６-１,https://dance-studio-lab.com/room/MWYzNmNhZGMtMWZiNi00MjBiLWJjNzMtZmFmNjAxYmQ5MjA3/detail,1,694.9,35.6957677,139.6975152,西武新宿駅,276.0,西武新宿駅|新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,https://buzz-st.com/shinjuku2/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業"
BUZZ レンタルスタジオ新宿コンシェルジュ店,〒160-0023 東京都新宿区西新宿７丁目１６-４ Concierge高橋 BF 地下 一階,https://dance-studio-lab.com/room/OGUzNmE0NzUtZDU1NS00ZjIyLTg4OGItNDYyOWI2YzkzOTA0/detail,1,719.1,35.6959487,139.6973397,西武新宿駅,292.0,西武新宿駅|新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,https://buzz-st.com/shinjuku4,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業"
BUZZ新宿,〒160-0023 東京都新宿区西新宿７丁目１６-４ Concierge高橋 BF 地下1階,https://dance-studio-lab.com/room/NThmODMwMDctZjkyNi00ZTE3LTgwNjQtMDRmOGIwMmQ5ZTRi/detail,1,723.9,35.6959773,139.6972769,西武新宿駅,298.0,西武新宿駅|新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,https://buzz-st.com/shinjuku/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業"
studio worcle shinjuku,〒160-0023 東京都新宿区西新宿７丁目１６-７ 第２１フジビル,,0,752.2,35.6963155,139.6975391,西武新宿駅,278.0,西武新宿駅|新大久保駅|新宿駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新大久保駅|station:新宿駅|feature:24h,https://www.studioworcle.com/shinjuku/,03-3361-0123,"2024-02-29 木曜日 10時00分～6時00分
2024-03-01 金曜日 10時00分～6時00分
2024-03-02 土曜日 9時00分～6時00分
2024-03-03 日曜日 9時00分～23時00分
2024-03-04 月曜日 9時00分～23時00分
2024-03-05 火曜日 10時00分～6時00分
2024-03-06 水曜日 10時00分～6時00分"
STUDIO COCORO（スタジオココロ）- 新宿代々木のレンタルスペース&ダンススタジオ - 数々のイベントやメディアに出演,〒151-0053 東京都渋谷区代々木３丁目９-１１,,0,753.4,35.6838781,139.6960234,代々木駅,551.0,代々木駅|新宿駅,渋谷区,渋谷,1.0,area:渋谷|station:代々木駅|station:新宿駅|feature:24h,http://studio-cocoro.tokyo/,080-7632-2020,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業"
Studio.m 新宿レンタルスタジオ,〒160-0022 東京都新宿区新宿５丁目１５?号２ 池与ビル ２０３,,0,767.0,35.693592,139.707105,西武新宿駅,642.0,西武新宿駅|新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
BEATs レンタルスタジオ ビーツ,東京都渋谷区代々木1-42-2 藤ビル2階,https://dance-studio-lab.com/room/ZWU0MDNlZTUtMDE1Zi00NDcyLWFjZjgtZTAzNzUzZTAwMzNj/detail,1,787.1,35.6827951,139.6991991,代々木駅,259.0,代々木駅|参宮橋駅|北参道駅|新宿駅|新宿三丁目駅|都庁前駅|千駄ケ谷駅|新宿西口駅|初台駅|新宿御苑前駅,渋谷区,渋谷,1.0,,,,
Beat Box Dance Studio,〒151-0053 東京都渋谷区代々木１丁目４２-２,,0,787.9,35.6827709,139.6994957,代々木駅,232.0,代々木駅|新宿駅,渋谷区,渋谷,1.0,area:渋谷|station:代々木駅|station:新宿駅|feature:24h,http://www.beatbox-jp.com/,03-5388-6774,"2024-02-29 木曜日 17時00分～23時00分
2024-03-01 金曜日 17時00分～23時00分
2024-03-02 土曜日 13時00分～23時00分
2024-03-03 日曜日 13時00分～21時30分
2024-03-04 月曜日 17時00分～23時00分
2024-03-05 火曜日 17時00分～23時00分
2024-03-06 水曜日 17時00分～23時00分
"
Cadena Flamenca,〒151-0053 東京都渋谷区代々木１丁目４２-２,,0,788.6,35.6827729,139.6993391,代々木駅,246.0,代々木駅|新宿駅,渋谷区,渋谷,1.0,area:渋谷|station:代々木駅|station:新宿駅|feature:24h,https://cadenaflamenca.jp/,03-5304-3535,"2024-02-29 木曜日 定休日
2024-03-01 金曜日 10時30分～21時45分
2024-03-02 土曜日 10時30分～16時15分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 15時30分～20時30分
2024-03-05 火曜日 16時00分～21時00分
2024-03-06 水曜日 12時00分～22時00分
"
レンタルスタジオ HIKARI 新宿三丁目,〒160-0021 東京都新宿区歌舞伎町２丁目８-１２ グリーンプラザ 203,,0,798.3,35.6950309,139.7060865,西武新宿駅,507.0,西武新宿駅|新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,https://hikari-studio.net/,050-3196-4716,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
レンタルスペース「301」,〒160-0021 東京都新宿区歌舞伎町２丁目８-１２ 新宿グリーンプラザ 301号,,0,798.3,35.6950309,139.7060865,西武新宿駅,507.0,西武新宿駅|新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,https://shierushan.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
レンタルスタジオ「Ten（テン）」,〒160-0021 東京都新宿区歌舞伎町２丁目８-１２ 新宿グリーンプラザ 303号,,0,798.3,35.6950309,139.7060865,西武新宿駅,507.0,西武新宿駅|新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,https://shierushan.com/,,"2024-02-29 木曜日 6時00分～23時30分
2024-03-01 金曜日 6時00分～23時30分
2024-03-02 土曜日 6時00分～23時30分
2024-03-03 日曜日 6時00分～23時30分
2024-03-04 月曜日 6時00分～23時30分
2024-03-05 火曜日 6時00分～23時30分
2024-03-06 水曜日 6時00分～23時30分
"
レンタルスタジオ 301,〒160-0021 東京都新宿区歌舞伎町２丁目８-１２ 新宿グリーンプラザ 301号,,0,798.3,35.6950309,139.7060865,西武新宿駅,507.0,西武新宿駅|新宿駅|新大久保駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新宿駅|station:新大久保駅|feature:24h,https://shierushan.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
レンタルピラティススタジオAivic新宿,東京都新宿区歌舞伎町2-1-2 HANROKUビル2階ー１,https://dance-studio-lab.com/room/MWY5Yzc5YzMtMmViOC00MmI0LWIwNzUtNDY1MDUzZjY4MzVm/detail,1,815.3,35.6949995,139.7063949,東新宿駅,339.0,東新宿駅|新宿三丁目駅|西武新宿駅|新宿西口駅|新宿駅|新宿御苑前駅|新大久保駅|大久保駅|若松河田駅|西新宿駅,新宿区,新宿,1.0,,,,
スタジオジパング 新宿スタジオSTANDARD,〒160-0022 東京都新宿区新宿５丁目１０-２０ JKKグループ本社ビル1F,,0,826.2,35.6927705,139.708383,新宿駅,762.0,新宿駅|西武新宿駅,新宿区,新宿,1.0,area:新宿|station:新宿駅|station:西武新宿駅|feature:24h,http://studiozipang.com/,,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
メインスタジオStudio Style+,〒160-0023 東京都新宿区西新宿７丁目２２-３１,,0,838.0,35.6969223,139.6967796,西武新宿駅,362.0,西武新宿駅|新大久保駅|新宿駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新大久保駅|station:新宿駅|feature:24h,https://studiostyle.jp/main-studio/,090-8306-7493,"2024-02-29 木曜日 24 時間営業
2024-03-01 金曜日 24 時間営業
2024-03-02 土曜日 24 時間営業
2024-03-03 日曜日 24 時間営業
2024-03-04 月曜日 24 時間営業
2024-03-05 火曜日 24 時間営業
2024-03-06 水曜日 24 時間営業
"
新宿 | PECO先生のベリーダンス スクール・アンジェリカ,〒160-0023 東京都新宿区西新宿７丁目２２-３１ 柏木 MURA BF,,0,850.1,35.6970022,139.6966616,西武新宿駅,375.0,西武新宿駅|新大久保駅|新宿駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新大久保駅|station:新宿駅|feature:24h,https://www.bellydanceangelica.com/shinjuku,080-3538-4549,"2024-02-29 木曜日 定休日
2024-03-01 金曜日 定休日
2024-03-02 土曜日 10時00分～12時00分
2024-03-03 日曜日 定休日
2024-03-04 月曜日 定休日
2024-03-05 火曜日 定休日
2024-03-06 水曜日 定休日"
ソニズレンタルスタジオ新宿店,〒160-0023 東京都新宿区西新宿７丁目２２-３１ 柏木 MURA B1F,,0,851.5,35.6970176,139.6966672,西武新宿駅,375.0,西武新宿駅|新大久保駅|新宿駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新大久保駅|station:新宿駅|feature:24h,https://sonysdance.com/,,"2024-02-29 木曜日 6時00分～23時00分
2024-03-01 金曜日 6時00分～23時00分
2024-03-02 土曜日 6時00分～23時00分
2024-03-03 日曜日 6時00分～23時00分
2024-03-04 月曜日 6時00分～23時00分
2024-03-05 火曜日 6時00分～23時00分
2024-03-06 水曜日 6時00分～23時00分"
スタジオスタイルプラス窓口StudioStyle+,〒160-0023 東京都新宿区西新宿７丁目２２-３１ 1F,,0,853.3,35.6970167,139.6966088,西武新宿駅,380.0,西武新宿駅|新大久保駅|新宿駅,新宿区,新宿,1.0,area:新宿|station:西武新宿駅|station:新大久保駅|station:新宿駅|feature:24h,https://studiostyle.jp/,090-8306-7493,"2024-02-29 木曜日 11時00分～15時00分
2024-03-01 金曜日 11時00分～18時00分
2024-03-02 土曜日 11時00分～15時00分
2024-03-03 日曜日 11時00分～15時00分
2024-03-04 月曜日 11時00分～18時00分
2024-03-05 火曜日 11時00分～15時00分
2024-03-06 水曜日 11時00分～18時00分"
DL Studio,〒151-0053 東京都渋谷区代々木１丁目４５-４ 地下2階 代々木山陽ビル,,0,855.4,35.6822863,139.6982172,代々木駅,356.0,代々木駅|新宿駅,渋谷区,渋谷,1.0,area:渋谷|station:代々木駅|station:新宿駅,http://www.instabase.jp/rooms/2630,,
