article_title,article_type,article_priority,rank,studio_title,address,is_partner,dslurl,primary_station,distance_to_primary_station_m,place_id,google_name,rating,review_count,match_confidence,api_status,selection_score,selection_reason
上野のレンタルダンススタジオおすすめ,エリア,S,11,レンタルスタジオALOALO,〒110-0016 東京都台東区台東４丁目３１-５ オリオンビル B1,0,,上野駅,717.0,ChIJq4jUEYqPGGARncRj9aiU11U,レンタルスタジオALOALO,5.0,1.0,1.0,OK,58.05,★5.0(+20pt) | 口コミ1件(+0pt) | 駅近1000m以内 | 複数記事候補×6 | primary_area=上野
上野のレンタルダンススタジオおすすめ,エリア,S,12,ブルースペース上野御徒町,〒110-0005 東京都台東区上野３丁目１３-１０ トミヤマビル B1F,0,,秋葉原駅,725.0,ChIJd9NlGkGPGGARVfILjaLOHAM,ブルースペース上野御徒町,4.8,8.0,1.0,OK,57.6,★4.8(+19pt) | 口コミ8件(+0pt) | 駅近1000m以内 | 複数記事候補×6 | primary_area=上野
上野のレンタルダンススタジオおすすめ,エリア,S,13,あおちゃんダンスコミュニケーション サルサダンス ブラジルダンス 認知症予防ダンス,〒110-0003 東京都台東区根岸２丁目１２-１１,0,,日暮里駅,726.0,ChIJL5FF-YuOGGARL1gBq1h6He8,【東京サルサ】あおちゃんダンスコミュニケーション,5.0,26.0,0.548,OK,57.3,★5.0(+20pt) | 口コミ26件(+1pt) | 駅近1000m以内 | 複数記事候補×5 | primary_area=上野
上野のレンタルダンススタジオおすすめ,エリア,S,14,シャノワールレンタルスタジオ,〒110-0005 東京都台東区上野３丁目１４-５ ヴェルコ黒門ビル 地下1階,0,,秋葉原駅,782.0,ChIJwcBMBzuPGGARgnyNIQN6DKw,シャノワールレンタルスタジオ,4.5,16.0,1.0,OK,56.8,★4.5(+18pt) | 口コミ16件(+1pt) | 駅近1000m以内 | 複数記事候補×6 | primary_area=上野
下北沢のレンタルダンススタジオおすすめ,エリア,S,1,ピアノスタジオノア 下北沢店,〒155-0031 東京都世田谷区北沢２丁目３４-８,0,,下北沢駅,201.0,ChIJkRZR42rzGGARZUx6Nwvucbk,ピアノスタジオノア 下北沢店,4.4,83.0,1.0,OK,64.75,★4.4(+18pt) | 口コミ83件(+4pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=下北沢
下北沢のレンタルダンススタジオおすすめ,エリア,S,2,レンタルスタジオKACHA,〒158-0097 東京都世田谷区用賀２丁目３８-１４ 天虎ビル 202,0,,用賀駅,130.0,ChIJA7UWKMn1GGARuVdvRDuprHc,レンタルスタジオKACHA,5.0,2.0,1.0,OK,63.1,★5.0(+20pt) | 口コミ2件(+0pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=下北沢
下北沢のレンタルダンススタジオおすすめ,エリア,S,3,スタジオセンティード Studio SENTIDO（レンタルスタジオ）,〒155-0031 東京都世田谷区北沢２丁目１８-５ 地下１階,0,,下北沢駅,253.0,ChIJ6Vsg52vzGGARG1pIJS-deqg,スタジオセンティード Studio SENTIDO（レンタルスタジオ）,5.0,1.0,1.0,OK,63.05,★5.0(+20pt) | 口コミ1件(+0pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=下北沢
下北沢のレンタルダンススタジオおすすめ,エリア,S,4,リリィ スタジオ&カフェ レンタルカフェ,〒156-0052 東京都世田谷区経堂２丁目７-１４-１０２,0,,経堂駅,261.0,ChIJ0TNW373zGGARkjs8DR1Ptuk,リリィ スタジオ&カフェ レンタルカフェ,5.0,1.0,1.0,OK,63.05,★5.0(+20pt) | 口コミ1件(+0pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=下北沢
下北沢のレンタルダンススタジオおすすめ,エリア,S,5,スタジオアニマーダ,〒154-0024 東京都世田谷区三軒茶屋１丁目１６-８,0,,三軒茶屋駅,423.0,ChIJ_9HFcJj0GGARhlZRK4G0ubk,スタジオアニマーダ,4.7,10.0,1.0,OK,62.3,★4.7(+19pt) | 口コミ10件(+0pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=下北沢
下北沢のレンタルダンススタジオおすすめ,エリア,S,6,ワーサルレンタルスタジオ（Cスタジオ）,〒156-0041 東京都世田谷区大原２丁目２３-１５ 大原アジアビル 9F,0,,代田橋駅,201.0,ChIJiU58NQXzGGART_vyaE46Ahw,ワーサルレンタルスタジオ（Cスタジオ）,5.0,7.0,1.0,OK,61.35,★5.0(+20pt) | 口コミ7件(+0pt) | 駅近500m以内 | 複数記事候補×4 | primary_area=下北沢
下北沢のレンタルダンススタジオおすすめ,エリア,S,7,個室レンタルジム AllDayGym 松陰神社店,〒154-0023 東京都世田谷区若林４丁目１７-１２ プルミエール松陰神社 202,0,,松陰神社前駅,191.0,ChIJq-e2rYbzGGAR6ccRv_mijI0,レンタルジムAlldaygym 世田谷 松陰神社店,4.9,14.0,0.889,OK,61.3,★4.9(+20pt) | 口コミ14件(+1pt) | 駅近500m以内 | 複数記事候補×4 | primary_area=下北沢
下北沢のレンタルダンススタジオおすすめ,エリア,S,8,貸ホールスペース６,〒157-0062 東京都世田谷区南烏山６丁目４-８,0,,千歳烏山駅,100.0,ChIJJdP5PI7xGGARfExeQZckKig,貸ホールスペース６,5.0,3.0,1.0,OK,61.15,★5.0(+20pt) | 口コミ3件(+0pt) | 駅近500m以内 | 複数記事候補×4 | primary_area=下北沢
下北沢のレンタルダンススタジオおすすめ,エリア,S,9,J's,〒158-0097 東京都世田谷区用賀３丁目２５-９,0,,用賀駅,485.0,ChIJoTVvm3b0GGARh3OuJ9wZ-2c,J's ダンススタジオ,4.5,2.0,0.462,OK,61.1,★4.5(+18pt) | 口コミ2件(+0pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=下北沢
下北沢のレンタルダンススタジオおすすめ,エリア,S,10,アトリエ エマーブル,〒158-0097 東京都世田谷区用賀３丁目１８-８ セントラルSOUI103,0,,用賀駅,374.0,ChIJ1-EfGPn1GGARrS6ylgmVess,アトリエ エマーブル,4.3,12.0,1.0,OK,60.8,★4.3(+17pt) | 口コミ12件(+1pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=下北沢
下北沢のレンタルダンススタジオおすすめ,エリア,S,11,スタジオ白猫屋 経堂R店,〒156-0052 東京都世田谷区経堂１丁目１１-１３ 長島ビル 3Ｆ,0,,経堂駅,203.0,ChIJ55PkqjLzGGARLPp5G5MYqr8,スタジオ白猫屋 経堂R店,4.3,3.0,1.0,OK,60.35,★4.3(+17pt) | 口コミ3件(+0pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=下北沢
下北沢のレンタルダンススタジオおすすめ,エリア,S,12,スタジオジパング 梅ヶ丘スタジオPRO,〒154-0022 東京都世田谷区梅丘１丁目３３-９ モンド梅ヶ丘ビル地下1階,0,,梅ヶ丘駅,94.0,ChIJfYb5q3XzGGAROeVxaFyShQc,スタジオジパング 梅ヶ丘スタジオPRO,4.7,3.0,1.0,OK,59.95,★4.7(+19pt) | 口コミ3件(+0pt) | 駅近500m以内 | 複数記事候補×4 | primary_area=下北沢
下北沢のレンタルダンススタジオおすすめ,エリア,S,13,NATURAglam 経堂スタジオ,〒156-0052 東京都世田谷区経堂１丁目２５-１８ 吉川水産ビル3階,0,,経堂駅,268.0,ChIJ_99YOJbzGGARtY4LmxpuuHM,ヨガ ピラティス NATURAglam 経堂スタジオ,4.0,4.0,0.821,OK,59.2,★4.0(+16pt) | 口コミ4件(+0pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=下北沢
下北沢のレンタルダンススタジオおすすめ,エリア,S,14,レンタルスタジオ Grip 下高井戸,〒156-0044 東京都世田谷区赤堤５丁目２６-３ 地下１階,0,,下高井戸駅,419.0,ChIJCXuwAXnzGGARectX4NrLZRg,レンタルスタジオ Grip 下高井戸,4.5,2.0,1.0,OK,59.1,★4.5(+18pt) | 口コミ2件(+0pt) | 駅近500m以内 | 複数記事候補×4 | primary_area=下北沢
中目黒のレンタルダンススタジオおすすめ,エリア,S,1,チェリッシュスタジオ1号館/6号館,東京都渋谷区円山町20-1 新大宗円山ビル別館3階,1,https://dance-studio-lab.com/room/Njc0MjgwMDUtMzBjZS00ZmU5LWFkNzgtYTE3Y2U5NDMyYmU0/detail,神泉駅,170.0,ChIJ4wfflFWLGGARbN_uIlPutlI,チェリッシュスタジオ１号館,3.7,29.0,0.867,OK,159.25,提携 | ★3.7(+15pt) | 口コミ29件(+1pt) | 駅近500m以内 | 複数記事候補×5 | tag/station:中目黒
中目黒のレンタルダンススタジオおすすめ,エリア,S,2,チェリッシュスタジオ9号館,東京都渋谷区鶯谷町15-7 ライブリーYSビル6階,1,https://dance-studio-lab.com/room/NGU3OTQ4YzEtMzA3OS00NDc3LThjODQtYWFkMmUzMTE4ZmFm/detail,渋谷駅,423.0,ChIJ2Umz5_2LGGARzBCaEFk8wWE,チェリッシュスタジオ9号館,3.5,2.0,1.0,OK,159.1,提携 | ★3.5(+14pt) | 口コミ2件(+0pt) | 駅近500m以内 | 複数記事候補×6 | tag/station:中目黒
中目黒のレンタルダンススタジオおすすめ,エリア,S,3,チェリッシュスタジオ5号館,東京都渋谷区道玄坂1-16-6 二葉ビル7D,1,https://dance-studio-lab.com/room/NTRjMDczNjgtY2EzMy00YjE4LWJlMjYtYmExOTZiYTBmZWZk/detail,渋谷駅,379.0,ChIJ__9rXFaLGGARXSVew3-Frrw,チェリッシュ５号館,3.6,16.0,0.818,OK,156.2,提携 | ★3.6(+14pt) | 口コミ16件(+1pt) | 駅近500m以内 | 複数記事候補×4 | tag/station:中目黒
中目黒のレンタルダンススタジオおすすめ,エリア,S,4,ザ・スペース大久保南口,東京都渋谷区桜丘町29-17 さくらマンション205,1,https://dance-studio-lab.com/room/ZDRhYmIxMjgtNzhkMy00Yjk1LTk2MzItNTdiZWJmY2VkYWZk/detail,渋谷駅,515.0,ChIJ___v2VCLGGAR0z3eGgj4BjY,チェリッシュ4号館・8号館,3.9,30.0,0.0,OK,155.1,提携 | ★3.9(+16pt) | 口コミ30件(+2pt) | 駅近1000m以内 | 複数記事候補×6 | tag/station:中目黒
中目黒のレンタルダンススタジオおすすめ,エリア,S,5,CARDIO BARRE JIYUGAOKA (カーディオ・バー 自由が丘店),〒152-0035 東京都目黒区自由が丘２丁目１０-４ ミルシェ自由が丘 5階,0,,自由が丘駅,132.0,ChIJTSxeVXT1GGAR8L9MZnzOZO0,CARDIO BARRE JIYUGAOKA (カーディオ・バー 自由が丘店),4.8,154.0,1.0,OK,69.9,★4.8(+19pt) | 口コミ154件(+8pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=中目黒
中目黒のレンタルダンススタジオおすすめ,エリア,S,6,ノアスタジオ 都立大店（ダンス・演劇）,〒152-0031 東京都目黒区中根１丁目７-２３ ＳＴビル,0,,都立大学駅,151.0,ChIJAQC0Gdz0GGARlctSXtd-qDQ,ノアスタジオ 都立大店,4.1,125.0,0.741,OK,65.65,★4.1(+16pt) | 口コミ125件(+6pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=中目黒
中目黒のレンタルダンススタジオおすすめ,エリア,S,7,ダンススタジオANGELO★,〒152-0035 東京都目黒区自由が丘２丁目１６-２５ シグナルヒル B1,0,,自由が丘駅,270.0,ChIJSyd5GR71GGARmpn_LZ1e4K0,キッズダンススクールANGELO★,5.0,3.0,0.71,OK,63.15,★5.0(+20pt) | 口コミ3件(+0pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=中目黒
中目黒のレンタルダンススタジオおすすめ,エリア,S,8,Dancing Appaloosa ダンシング アパルーサ,〒152-0004 東京都目黒区鷹番３丁目４-１９ 江連ビル 3階 イズミダンススクール内,0,,学芸大学駅,53.0,ChIJZxflgEH1GGAR8O76B2Rnr0M,カントリーダンス ダンシング アパルーサ,5.0,2.0,0.455,OK,63.1,★5.0(+20pt) | 口コミ2件(+0pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=中目黒
中目黒のレンタルダンススタジオおすすめ,エリア,S,9,NSH MAJOR RENTAL STUDIO,〒153-0051 東京都目黒区上目黒３丁目６-１８ TYビル9階 Tyビル,0,,中目黒駅,205.0,ChIJTzy8UUaLGGARO3pP9Y5MU4Y,MAJOR Dance Studio,4.8,17.0,0.667,OK,63.05,★4.8(+19pt) | 口コミ17件(+1pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=中目黒
中目黒のレンタルダンススタジオおすすめ,エリア,S,10,溶岩ホットヨガ LaLa Aasha（ララアーシャ）学芸大学,〒152-0004 東京都目黒区鷹番２丁目２０-６ Kh.01 3F,0,,学芸大学駅,154.0,ChIJge7oMsz0GGARIRcwDFkmNR0,溶岩ホットヨガ LaLa Aasha（ララアーシャ）学芸大学スタジオ,4.2,49.0,0.933,OK,62.25,★4.2(+17pt) | 口コミ49件(+2pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=中目黒
中目黒のレンタルダンススタジオおすすめ,エリア,S,11,RAISE UP STUDIO 自由が丘 レンタルスタジオ,〒152-0035 東京都目黒区自由が丘１丁目３-22-B1,0,,自由が丘駅,288.0,ChIJxSEsih_1GGARdDQN9QdwEfE,RAISE UP STUDIO 自由が丘 レンタルスタジオ,4.6,5.0,1.0,OK,61.65,★4.6(+18pt) | 口コミ5件(+0pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=中目黒
中目黒のレンタルダンススタジオおすすめ,エリア,S,12,レンタルスタジオAivic渋谷道玄坂,東京都渋谷区円山町23-10 渋谷ATビル201,1,https://dance-studio-lab.com/room/NWE2MDljYmItN2I0ZC00ZjIzLWI3MGEtMmZiNmEzNWJjOWI4/detail,神泉駅,78.0,ChIJuZbmQQCLGGARLH-u9VtZJWo,レンタルスタジオAivic渋谷道玄坂,,,1.0,OK,,提携 | ★nan(+nanpt) | 駅近500m以内 | 複数記事候補×6 | tag/station:中目黒
中目黒のレンタルダンススタジオおすすめ,エリア,S,13,レンタルスタジオAivic恵比寿,東京都渋谷区恵比寿西1-14-3 満栄佐藤ビル202,1,https://dance-studio-lab.com/room/MzMyZDY5NzktNDEzOS00MzAyLWJjNzEtMjZiMjNiNzUwNGMy/detail,恵比寿駅,233.0,ChIJbddKNQCLGGAR5i2xL19gjec,レンタルスタジオ Aivic恵比寿1号店,,,0.914,OK,,提携 | ★nan(+nanpt) | 駅近500m以内 | 複数記事候補×7 | tag/station:中目黒
中野のレンタルダンススタジオおすすめ,エリア,S,1,Dubway レンタルスタジオ中野,東京都中野区5-32-6 城西ビルB02,1,https://dance-studio-lab.com/room/MzFmYWU5ZjgtNmM0NC00MDYzLTljOGUtMjFlZDI1MmVhMDE5/detail,中野駅,167.0,ChIJ21QXDnjzGGARiL1yJ3naUQA,Dubway Dance Studio中野,5.0,1.0,0.457,OK,165.05,提携 | ★5.0(+20pt) | 口コミ1件(+0pt) | 駅近500m以内 | 複数記事候補×6 | primary_area=中野
中野のレンタルダンススタジオおすすめ,エリア,S,2,なかすた（スタジオ神田川）,〒164-0013 東京都中野区弥生町５丁目２２-２ ビラフジミ B号室,1,https://dance-studio-lab.com/room/ODE4NDI3NmEtODY2YS00ZTg2LTgyMzctNzMzNmYwYjNmNDgx/detail,中野富士見町駅,163.0,ChIJh19rEo_zGGARV0GsS_Gy7GM,なかすた,4.2,6.0,0.471,OK,160.1,提携 | ★4.2(+17pt) | 口コミ6件(+0pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=中野
中野のレンタルダンススタジオおすすめ,エリア,S,3,ホットヨガスタジオLAVA 中野坂上店,〒164-0012 東京都中野区本町２丁目２８-１１ 不二ハイツ 2F,0,,中野坂上駅,254.0,ChIJf4iuldDyGGAR2NYr4RuYSpc,ホットヨガスタジオLAVA 中野坂上店,4.6,139.0,1.0,OK,66.35,★4.6(+18pt) | 口コミ139件(+7pt) | 駅近500m以内 | 複数記事候補×4 | primary_area=中野
中野のレンタルダンススタジオおすすめ,エリア,S,4,Rinky Dink Studio 中野店,〒164-0001 東京都中野区中野２丁目２５-２ トビタビル ２階,0,,中野駅,133.0,ChIJEXgrDJTyGGARy4nWWYV_3Z4,Rinky Dink Studio 中野店,4.3,60.0,1.0,OK,63.2,★4.3(+17pt) | 口コミ60件(+3pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=中野
中野のレンタルダンススタジオおすすめ,エリア,S,5,中野 レンタルスタジオ オドリバ,〒164-0001 東京都中野区中野５丁目３２-６ 中野城西ビル B-7号室,0,,中野駅,163.0,ChIJAdEgIb_zGGARKKe68JFQG1E,中野 レンタルスタジオ オドリバ,5.0,2.0,1.0,OK,63.1,★5.0(+20pt) | 口コミ2件(+0pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=中野
中野のレンタルダンススタジオおすすめ,エリア,S,6,D'CRE8 Dance Shtajio (ディークリエイトダンスシタジオ),〒164-0013 東京都中野区弥生町１丁目１１-２ B1,0,,西新宿五丁目駅（清水橋）,325.0,ChIJkwHn3knzGGARe1H1020zo1E,D'CRE8 Dance Shtajio (ディークリエイトダンスシタジオ),5.0,29.0,1.0,OK,62.45,★5.0(+20pt) | 口コミ29件(+1pt) | 駅近500m以内 | 複数記事候補×4 | primary_area=中野
中野のレンタルダンススタジオおすすめ,エリア,S,7,高円寺スタジオ,〒166-0002 東京都杉並区高円寺北２丁目７-７ 地下１階 高円寺名店ビル,0,,高円寺駅,147.0,ChIJ9zWe-HXzGGARGkJQzJ_PtPA,高円寺スタジオ,4.8,4.0,1.0,OK,62.4,★4.8(+19pt) | 口コミ4件(+0pt) | 駅近500m以内 | 複数記事候補×5 | tag/station:中野
中野のレンタルダンススタジオおすすめ,エリア,S,8,ノアスタジオ 中野店,"〒164-0001 東京都中野区中野３丁目３９-２, Nakano Noah Building, B1",0,,中野駅,231.0,ChIJaTG8cDTzGGARLDe5KZGdFKg,ノアスタジオ 中野店,4.5,24.0,1.0,OK,62.2,★4.5(+18pt) | 口コミ24件(+1pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=中野
中野のレンタルダンススタジオおすすめ,エリア,S,9,スタジオ エレ,〒161-0034 東京都新宿区上落合３丁目２３-１７,0,,落合駅,319.0,ChIJx_XFEbfyGGARybHLrnejH-I,スタジオ エレ,4.4,12.0,1.0,OK,61.2,★4.4(+18pt) | 口コミ12件(+1pt) | 駅近500m以内 | 複数記事候補×5 | tag/station:中野
中野のレンタルダンススタジオおすすめ,エリア,S,10,大谷哲章バレエスタジオアプロン,〒164-0011 東京都中野区中央２丁目８-２１,0,,中野坂上駅,181.0,ChIJu9DaBYHzGGAR9hWXR5oOYLg,Alpha Ballet Studio アルファ•バレエ•スタジオ,5.0,3.0,0.311,OK,61.15,★5.0(+20pt) | 口コミ3件(+0pt) | 駅近500m以内 | 複数記事候補×4 | primary_area=中野
中野のレンタルダンススタジオおすすめ,エリア,S,11,サワミュージカルスタジオ,"関島ビル B2F, １丁目-１４-１２ 弥生町 中野区 東京都 164-0013",0,,西新宿五丁目駅（清水橋）,299.0,ChIJ7wiGhNfyGGARW6CreQ-Qf-E,サワミュージカルスタジオ,5.0,1.0,1.0,OK,61.05,★5.0(+20pt) | 口コミ1件(+0pt) | 駅近500m以内 | 複数記事候補×4 | primary_area=中野
中野のレンタルダンススタジオおすすめ,エリア,S,12,中野ロフトスタジオ～nakano f～,〒164-0001 東京都中野区中野５丁目４６-１０,0,,中野駅,294.0,ChIJl6Pr4ZbyGGARXRLXIUd2soI,レンタルスタジオ＆スペース nakano f,3.9,40.0,0.579,OK,60.6,★3.9(+16pt) | 口コミ40件(+2pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=中野
中野のレンタルダンススタジオおすすめ,エリア,S,13,NATURAglam 高円寺スタジオ,〒166-0003 東京都杉並区４５ 高円寺南４丁目４５-２ メインロードビル3階,0,,高円寺駅,100.0,ChIJD1RX9IfyGGAR-Ka-hHMKh0c,ヨガ ピラティス ベリーダンス NATURAglam 高円寺スタジオ,4.3,6.0,0.723,OK,60.5,★4.3(+17pt) | 口コミ6件(+0pt) | 駅近500m以内 | 複数記事候補×5 | tag/station:中野
中野のレンタルダンススタジオおすすめ,エリア,S,14,ダンススタジオ ファンデーション 東中野落合校,〒164-0003 東京都中野区東中野３丁目１６-１４ 小谷ビル １Ｆ,0,,東中野駅,392.0,ChIJVVX5grfyGGARi4fjA1PDesI,ダンススタジオ ファンデーション 東中野落合校,4.8,6.0,1.0,OK,60.5,★4.8(+19pt) | 口コミ6件(+0pt) | 駅近500m以内 | 複数記事候補×4 | primary_area=中野
中野のレンタルダンススタジオおすすめ,エリア,S,15,ＪＰスタジオ,〒165-0027 東京都中野区野方５丁目１７-１０,0,,野方駅,193.0,ChIJc7NFhXjtGGARf90fzSEn1Uc,ＪＰスタジオ,5.0,2.0,1.0,OK,59.1,★5.0(+20pt) | 口コミ2件(+0pt) | 駅近500m以内 | 複数記事候補×3 | primary_area=中野
六本木のレンタルダンススタジオおすすめ,エリア,S,1,BUZZ レンタルスタジオ 六本木店,〒106-0032 東京都港区六本木４丁目５-７ スタジオＤ 地下1階,1,https://dance-studio-lab.com/room/MGYxY2IwOWYtNDQ4ZS00MmEyLTliYTAtNzg1YjUyOTA0OTlj/detail,六本木駅,269.0,ChIJYSonz5WLGGARQ_tWA-7sdLs,BUZZ六本木,4.3,6.0,0.609,OK,162.5,提携 | ★4.3(+17pt) | 口コミ6件(+0pt) | 駅近500m以内 | 複数記事候補×6 | primary_area=六本木
六本木のレンタルダンススタジオおすすめ,エリア,S,2,BUZZ赤坂見附 ,東京都港区赤坂3-21-14TS 共和六番館地下1階,1,https://dance-studio-lab.com/room/NjYxZDU0NDMtOGEwNS00MDM3LTllNDktMzAyNTQ0MmVlMTE1/detail,赤坂駅,100.0,ChIJVYWN_QmNGGAR9ZZTXuV5ck0,BUZZ赤坂見附,4.0,2.0,1.0,OK,159.1,提携 | ★4.0(+16pt) | 口コミ2件(+0pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=六本木
六本木のレンタルダンススタジオおすすめ,エリア,S,3,チェリッシュスタジオ11号館/12号館/13号館/14号館,東京都港区西麻布-2-21-22 WEST麻布2791ビル2階,1,https://dance-studio-lab.com/room/ZmMxMTg1ZGQtMjUyZS00NjZlLWE3YzMtZjllNWM1N2JhNTdj/detail,表参道駅,809.0,ChIJT9aA3cqLGGARWLJ9gelXaKA,チェリッシュスタジオ11号館・12号館・13号館・14号館,3.8,8.0,0.945,OK,151.6,提携 | ★3.8(+15pt) | 口コミ8件(+0pt) | 駅近1000m以内 | 複数記事候補×5 | primary_area=六本木
六本木のレンタルダンススタジオおすすめ,エリア,S,4,ノアスタジオ 赤坂店,〒107-0052 東京都港区赤坂３丁目１３-１２ 受付は隣のビル2Fとなります,0,,赤坂駅,62.0,ChIJu6hQNIeLGGARf5rRIjgFNvg,サウンドスタジオノア 赤坂店,4.7,173.0,0.636,OK,70.45,★4.7(+19pt) | 口コミ173件(+9pt) | 駅近500m以内 | 複数記事候補×5 | primary_area=六本木
